PROJECT_ID,RISK_ID,RISK_TREATMENT_ID,RISKOWNERDISCIPLINEID,RISKTREATMENTTYPEID,PROPOSED_RISK_TREATMENT,COST_IMPACT_RISK_TREATMENT,SCHEDULE_IMPACT_RISK_TREATMENT,RECOMMENDED_BY_PDT,IMPLEMENTED,LOCKSTATUS,EDITDATE
3654,5,1,13,2,"The PDT will mitigate this risk by providing briefings and read ahead material to key DSOG members to ensure their buy in prior to the DSOG meeting. 

This is not a cost or schedule impact beyond what is already scoped.",0,0,1,1,0,13-Mar-23
3572,27,1,4,2,"The study team is limiting the FY23 scope to refinement of existing information and updating the model for additional work in FY24. If additional work can be advanced into FY23, it will as an opportunity. The schedule impact is likely 30-90 days in the current schedule.  Under normal conditions, model runs would immediately follow refinements.",0,30,1,1,0,23-Mar-23
3654,6,1,4,4,The PDT accepts the risk in order to be policy compliant.,0,0,1,1,0,13-Mar-23
3654,4,1,17,4,The PDT will accept this risk. ,0,0,1,1,0,13-Mar-23
3677,6,1,4,4,Model account a level of uncertainty,80000,80,1,0,0,14-Mar-23
3691,8,1,13,2,"The team will attempt to minimize the risk and will do so by distributing writing tasks throughout the team, and efforts on the planner's end will be aimed at coordinating the team to proper plan formulation procedure. ",0,0,0,0,0,27-Mar-23
3069,12,1,16,1,Team will continue to coordinate closely with NMFS HCD,0,0,1,1,0,18-May-23
3544,15,1,3,2,Gather more data,15000,30,1,0,0,17-Apr-23
3544,15,2,3,4,No nothing,0,0,0,0,0,17-Apr-23
3544,12,1,7,4,accept,0,0,0,0,0,23-Mar-23
3544,12,2,7,2,mitiaafaefe,5000,15,0,0,0,23-Mar-23
3069,18,1,4,4,"This risk would be realized during PED, when coordination with USEPA occurs for the ODMDS. Continue to coordinate with PD-E to evaluate risk moving forward into PED. ",0,0,1,1,0,13-Nov-23
3555,7,1,12,2,Creative adaptation of low fidelity model,0,0,1,1,0,20-Mar-23
3555,1,1,13,5,A 3x3 policy exception waiver will be utilized and transmitted to SAD by the XXX milestone for additional time for this project,0,365,1,0,0,13-Mar-23
3430,11,1,16,2,"As a mitigation measure, the District has identified plan
formulation strategies to use natural and nature-based features and well as multi-purpose flood risk management and ecosystem restoration opportunities which
would include ecosystem restoration as part of the recommended plan and reduce the need for habitat mitigation.",0,0,1,0,0,27-Apr-23
3652,17,1,3,1,"If no cost-effective source areas are identified for use, the construction plans would not include an NNBF or beach restoration unless a source area can be found. ",0,0,0,0,0,1-May-23
3574,21,1,15,4,Team will evaluate the previously authorized project. ,12000,10,1,1,0,1-May-23
3574,18,1,4,2,Team will add increased modeling both upstream and downstream ,10000,30,1,0,0,1-May-23
3574,19,1,15,2,Team will perform additional field surveys to ensure accuracy. ,6000,0,1,0,0,1-May-23
3574,20,1,17,4,PM will continue to track but accept the risk. ,20000,60,0,0,0,1-May-23
3574,22,1,12,4,The team will continue to communicate the study area. ,6000,0,1,0,0,1-May-23
3574,23,1,15,4,The team will accept that a waiver may be needed. ,10000,60,0,0,0,1-May-23
3069,8,1,14,1,Team will conduct capacity analysis and least cost early to help focus on most viable options. Budget also covers cultural surveys,0,0,1,1,0,18-May-23
3544,6,1,14,4,nothing;fna[39,5,50,0,0,0,24-Jan-23
3652,3,1,16,2,The mitigation strategy is to formulate alternatives that avoid the CBRA areas. ,0,0,0,1,0,25-Apr-23
3677,20,1,21,1,Identify potential irrigation access points.,20000,0,0,0,0,14-Mar-23
3677,13,1,4,4,The PDT will scope for the 200 year protection because of the Non-Fed preference and to see its feasibility and effects on econ and cost,250000,60,0,0,0,14-Mar-23
3677,14,1,4,4,Data should still be applicable. Data will be evaluated to verify applicability.,0,30,0,0,0,14-Mar-23
3677,18,1,4,5,"Determine quality model, contact ERDC",60000,90,0,0,0,14-Mar-23
3069,20,1,16,5,Maintain consistent coordination with agency partners and vertical team to relay schedule and importance of obtaining BOs per schedule. ,0,0,1,1,0,13-Nov-23
3555,2,1,14,1,Surveys will be completed during Feasibility Phase to ensure least impactful project footprint,0,0,1,0,0,14-Mar-23
3574,6,1,18,1,"At this point, the next steps are not yet determined and are contingent upon the PDT's decision on the path forward. Therefore, we will need to wait until a decision has been made before proceeding with any further actions.",50000,180,0,0,0,14-Apr-23
3691,2,1,4,4,"The team is recommended a more conservative approach than the current science is forecasting. Current science indicates a likelihood of low sea level rise at this location. The team is proposing to use a moderate sea-level rise for modeling. The design could be scaled back at the time of construction phase, if deemed desirable.",0,0,0,0,0,22-Mar-23
3572,17,1,13,2,Other studies in CENAE have included nonstructural measures in CSRM projects.  We are working closely with the Real Estate Specialist and will set up discussions to understand LERRS impacts with the nonstructural measures we've identified. There is time for the next year while the team develops the FWOP and Existing condition. ,0,0,1,1,0,1-Mar-23
3069,20,2,16,1,"Assess whether species impacts could be avoided (e.g., through prohibiting hopper dredging) to allow us to move forward without obtaining a NMFS biological opinion. This would require determining the cost impacts - they could be negligible, as hopper dredging is not currently anticipated to be used. The BO could continue to be pursued during PED to ultimately allow hopper dredging. ",0,0,0,0,0,13-Nov-23
4312,1,1,17,2,Frequent communication with Sponsor to promote understanding of next steps of the project.,0,22,0,0,0,14-Nov-23
3555,3,1,16,4,"Wetland surveys have been included in the study's schedule and budget. 
Determination of need for wetland surveys will occur during development of the alternatives.",0,0,1,0,0,4-Apr-23
3430,9,1,15,2,Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,0,0,0,0,0,6-Apr-23
3430,10,1,15,2,Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,0,0,0,0,0,6-Apr-23
3574,16,1,16,1,Coordinate with FAA and airport personnel to determine acceptable locations for borrow area and wetland mitigation area placement.,50000,30,0,0,0,28-Apr-23
4311,4,1,17,2,"Utilization of the IDaC methodology integrates the contractor into the design so USACE can properly collaborate between the end-user, the contractor and the designers. ",20000000,0,1,0,0,14-Nov-23
3652,12,1,12,2,"Identifying the risk in feasibility and identifying the stakeholders and utility owners will mitigate the risk.  Additionally, involving the correct stakeholders will ensure the appropriate level of contingency and risk is included in the cost analysis which feeds the total project cost presented to Congress for authorization.",0,0,0,0,0,1-May-23
3652,13,1,3,2,"During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,0,0,0,1-May-23
2126,2,1,13,4, 1) Mitigation will be documentation in the revised draft report the rationale of moving forward with the LPP and performing the EJ outreach meetings and surveys. 2) Request professional judgement opinion from FRM-PCX and/or RMC regarding the technical acceptability of the dam construction (i.e.. engineers that is not technically feasible because of Geotech concerns). 3)NS TSP selection ensure documentation in risk register regarding implementation concerns for disadvantage communities/population. 4) Vertically align on associated policy concerns. 5)Full vertical alignment with integrated policy and legal compliant review team (P&LCRT).6) HQ Functional Leads concurrence on path forward ,0,240,1,0,0,2-Jun-23
3671,1,1,3,4,fill sink holes,100,1,0,0,0,15-Mar-23
3671,1,2,3,1,go around all the sink holes,1000000,1000,0,1,0,13-Mar-23
3544,16,1,17,3,stakeholder responsibility,50,500,0,0,0,19-May-23
3544,17,1,21,4,no nothing,0,0,1,1,0,25-May-23
3544,8,1,12,2,Test,10000,45,1,0,0,13-Feb-23
3915,10,1,17,1,No Response Provided,0,0,0,0,0,7-Jun-23
4311,1,1,3,2,"The team is working to procure the services from an external entity such as USBR, ERDC or AE. ",0,0,1,1,0,14-Nov-23
4311,2,1,17,4,There is no cost effective way to mitigate for this risk because the mitigation itself is the involvement of the IDaC contractor.,0,0,1,1,0,14-Nov-23
3677,35,1,4,4,"Should the modeling demonstrate that the flow in not able to be restored, the PDT would have to identify a new alternative or abandon project.",400000,180,1,1,0,6-Jun-23
3677,35,2,4,4,"Should the modeling demonstrate that the flow in not able to be restored, the PDT would have to identify a new alternative or abandon project.",400000,180,1,1,0,6-Jun-23
3677,29,1,14,1,"Based on desktop investigations (no field surveys yet) avoid any areas that show cultural sensitivity, or have a possibility of recovering artifacts.",0,0,0,0,0,6-Jun-23
3677,29,2,14,2,"Assumes cultural resources within design footprint, complete mitigation activities such as removal of sensitive artifacts, coordination with Tribes, State SHPO, other interested stakeholders. ",500000,540,0,0,0,6-Jun-23
3677,30,1,3,1,Complete more geotechnical surveys to reduce risk.,550000,200,1,0,0,6-Jun-23
3914,3,1,4,2,Development of an Adaption plan and communicate risk to NFS,50000,60,1,0,0,6-Jun-23
3914,6,1,3,4,"Use rock boxes, disposal of rock material and accept slow production.",0,45,0,0,0,6-Jun-23
3677,27,1,13,2,Prioritize early engagement with stakeholders to evaluate feasibility and adjust project scope as necessary. ,45000,0,1,0,0,6-Jun-23
3913,4,1,17,1,"1. Coordinate with supervisors about additional support. 2. Reach out to other Districts, Divisions and appropriate Communities of Practice for additional support.",15000,90,1,0,0,7-Jun-23
3913,6,1,4,4,"Communicate risk to senior leadership, command, and non-Federal Sponsor. ",0,0,1,0,0,7-Jun-23
3430,12,1,4,5,"Guidance needs to be put together by USACE technical teams, particularly the H&H Community of Practice, to determine how inland hydrology changes should be addressed.",2000000,770,1,0,0,5-May-23
3430,12,2,4,2,The team is developing an inland climate change sensitivity analysis.,0,0,1,1,0,8-Jun-23
3572,6,1,4,2,The PDT is already coordinating with the CPR CoP and HH&C CoP.  ,0,0,1,1,0,30-Jan-23
3572,13,1,22,5,"Elevating the risk through programs channels to identify a funding source. Congressional Reprogramming can be a long and tedious process of up to one-year. If Congressional Reprogramming is the path, recommend starting now.",25000,365,1,0,0,1-Mar-23
3711,4,1,4,2,"The PDT will manage this risk by:
- Meeting with the FRM-PCX to determine the amount of modeling that is needed for this study.
-Try to obtain existing modeling (MDC).
-If we cannot obtain existing, then we investigate other less expensive and time consuming solutions (e.g. identify the contactor who developed the MDC model).",0,0,1,0,0,13-Jun-23
3544,5,1,14,5,escalate,0,0,0,0,0,24-Jan-23
3572,6,2,4,2,"The PDT will formulate to both the High SLC curve and Intermediate SLC Curve to determine which is appropropriate in each neighborhood.  The answer may be different depending on criteria such as space to adapt, population at risk, and direct risk.",200000,180,1,1,0,1-Mar-23
3572,19,1,3,2,"Risk assessment will include both hydraulic loading and seismic loading. USACE ERDC and USGS are currently researching the effects of sea level rise and seismic hazards. During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,1,1,0,1-Mar-23
3572,20,1,3,4,"During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,1,1,0,1-Mar-23
3544,5,2,14,1,risk response taken,5000,15,1,1,0,23-Mar-23
3913,13,1,17,5,"1) Submit a 3x3x3 policy waiver, 2) communicate with vertical team increased risk and uncertainty regarding the study ",50000,60,1,1,0,13-Jun-23
3430,6,1,4,2,"Continued coordination with the Climate, Preparedness, and Resiliency (CPR) CoP and NFS to leverage existing information. Recommended path forward is to conduct a sensitivity analysis to verify if inland climate change could affect plan selection prior to TSP.",300000,120,0,0,0,6-Apr-23
3572,28,1,15,1,The schedule includes a G2CRM model setup period to ensure that all factors impacting benefit analysis are updated specific to the Boston CSRM Study. We've already made a decision to formulate to the high and intermediate SLC scenario and have buy-in from the CPR CoP on that COA.,50000,0,1,1,0,29-Mar-23
3572,28,2,15,1,A targeted ATR of the Economic FWOP condition will be done prior to formulating for the FWP condition. This will avoid the risk of an incomplete model being used to formulate alternatives.,0,0,1,1,0,29-Mar-23
3572,5,2,15,2,This risk can be mitigated with a Targeted ATR of the Economic FWOP conditions in G2CRM. This will mitigate the risk of formulation errors associated with an incorrect floodplain. Costs are built into the existing ATR Schedule and Budget within the Study Review Plan.,0,0,1,1,0,23-Mar-23
3544,13,1,7,4,accept,0,0,0,0,0,30-Mar-23
3544,13,2,7,1,do something else,5000,50,1,0,0,30-Mar-23
3574,2,1,3,2,Capture enough borings to get estimate of settlement along levee adequate to capture magnitude of levee height and real estate correct.,50000,180,0,0,0,14-Apr-23
3574,3,1,3,2,Get enough Borings to get foundation soil magnitude reasonably close.,75000,365,0,0,0,14-Apr-23
3574,4,1,4,2,"The team will closely coordinate with the system plan model. However, the purpose of being able to spin-off studies early was to get to construction projects quicker so the team does not want to delay the spin-offs and will accomade modeling as needed.  ",50000,180,0,0,0,14-Apr-23
3574,5,1,4,2,Targeted ATR to get buy-in on FWOP conditions..,10000,30,1,0,0,14-Apr-23
3574,7,1,16,2,"Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,14-Apr-23
3574,7,2,16,2,"Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,14-Apr-23
3574,8,1,16,2,Continue ongoing FWCA coordination with USFWS. Continue communicating the different schedule requirements between the System Plan and Jefferson City studies to determine the most appropriate path forward on documenting fish and wildlife coordination.,50000,30,0,0,0,14-Apr-23
3574,9,1,16,2,Stipulate in the alternatives that any necessary tree clearing must be conducted within the seasonal clearing window (November 1 - March 31) so that these activities are unlikely to adversely affect federally listed bat species.,1000,14,0,0,0,14-Apr-23
3574,10,1,4,4,Ensure model is expanded sufficiently upstream and downstream,40000,30,1,0,0,14-Apr-23
3574,11,1,9,4,PDT assumes initial surveys and as-builts will be adequate; additional work will be done if risk is realized. ,20000,30,0,0,0,14-Apr-23
3574,12,1,15,2,Early identification of who benefits in FWOP development,10000,30,0,0,0,14-Apr-23
3555,16,1,15,4,"could recommend LLP and request NED exception
",0,0,1,1,0,26-Apr-23
3555,17,1,15,4,"Add additional structures to inventory
",0,0,0,0,0,26-Apr-23
3574,13,1,3,2,Obtain additional borings if needed,100000,180,0,0,0,28-Apr-23
3574,14,1,3,2,Additional borings would need to be done. ,100000,180,0,0,0,28-Apr-23
3574,25,1,17,4,The team will implement any changes as it can and leadership expectations on project impacts should remain in check. ,50000,180,0,0,0,1-May-23
3574,15,1,17,4,The team is going to have to accept the risk and work through the process with the sponsor and team. ,20000,90,1,0,0,28-Apr-23
3574,17,1,9,3,Responsibility would be on utility owner to resolve issue and relocate utility,0,90,0,0,0,28-Apr-23
3574,24,1,3,4,Team will continue to work the issue. ,20000,0,1,0,0,1-May-23
3574,26,1,14,4,Team is accepting the risk and pushing it to the PED phase. ,100000,180,0,0,0,1-May-23
3711,7,1,14,2,"To reduce the probability and impact of the risk, the PDT will: 
1. Coordinate closely with the CT SHPO to determine which structures would fall into this risk and what actions need to be taken to comply with applicable laws.",0,0,1,0,0,13-Jun-23
3913,17,1,16,1,"1) Staying engaged with the PDT, senior leadership, resource agencies, and NFS throughout the study. 2) Offer recommendations to measures and alternatives that avoid and minimize impacts to significant cultural and environmental resources within the study area. ",50000,120,1,0,0,26-Jun-23
3069,5,1,13,5,Coordinate frequently with the vertical team on funding and its relation to the exception request to ensure funding needs are met,0,0,0,1,0,18-May-23
3913,18,1,14,2,"Develop a programmatic agreement with consulting parties that initiates consultation under Section 106, evaluates structures within the APE and  their eligibility for listing to the NRHP, and determines the effect to these properties by the proposed undertaking.",50000,120,1,0,0,26-Jun-23
3544,9,1,4,4,accept,0,0,0,0,0,27-Feb-23
3544,9,2,4,1,avoid,0,0,0,0,0,27-Feb-23
3572,10,1,13,2,Coordinate with PCX-CSRM and CPR CoP for policy compliant formulation strategy.  Concurrence received on 31 January 23 to formulate to High and Intermediate with sensitivity on the low.,0,0,1,1,0,14-Feb-23
3572,10,2,13,2,"Mitigate the risk through periodic IPRs and coordination/collaboration with the CPR CoP and PCX-CSRM to ensure alignment on formulation.  Don't wait until after the decisions are made, get alignment throughout. Costs associated with this risk response are for Labor associated with meetings.",5000,0,1,1,0,1-Mar-23
3652,2,1,12,4,"There are no additional opportunities for an increase in the budget due to budgetary constraints on the side of the non-federal sponsor. So, the risk to the project is accepted and no mitigation is currently available for this project. ",0,0,0,0,0,25-Apr-23
3572,14,1,16,1,The FAA is a cooperating agency with the study.  The study team is already engaging in discussions to ensure the risk is avoided.,0,0,1,1,0,1-Mar-23
3572,14,2,16,2,"The study team engaged with ERDC EWN, who is conducting a study in the Belle Island Marsh area near the Airport.  We are working with the EWN team to identify potential impacts of NNBF, i.e. additional birds, or other hazards to the fly-way.",0,0,1,1,0,1-Mar-23
3677,9,1,14,2,Identify specific properties at risk so specific measure can be developed.  Mitigation measures would be identified.,200000,120,0,0,0,14-Mar-23
3430,5,1,13,2,Include LifeSIM in the study scope to meet requirements.,0,0,1,1,0,8-Jun-23
3572,22,1,16,2,"We've identified the importance of community connectedness to the water in our formulation strategies. We understand that we will need to integrate water access into features, either as part of the formulation or, as a betterment.",0,0,1,1,0,1-Mar-23
3572,22,2,16,2,"We've developed a community outreach plan that parallels the technical/planning/NEPA process to ensure community opportunities to participate in the process.  Where we can't avoid cutting access off, there will be plenty of opportunity to explain why and what alternatives were evaluated.",0,0,1,1,0,1-Mar-23
3572,23,1,12,4,"The team will do a literature Phase I review in Feasibility and account for the possibility in the Risk Register. However, it is the responsibility of the Sponsor to turn over clean LERRDS.",0,0,1,1,0,1-Mar-23
3572,26,1,15,1,The team is developing a comprehensive benefit strategy. We are coordinating with the Vertical and Horizontal teams to ensure it is complete and accurate to reduce risk of reformulation post-TSP.  The City of Boston is leading an outreach and involvement effort to ensure EJ Outreach and the community is engaged.,0,0,1,1,0,1-Mar-23
3652,19,1,16,1,"If Alternative 3 were to impact the superfund site at mitchell avenue, then the PDT would remove that part of the alternative to avoid impacting the HTRW. ",0,5,0,0,0,1-May-23
3652,11,1,4,2,The PDT is coordinating with the CPR CoP and will formulate to the SLC Curve best suited for our study areas as per the recommendation of the CPR CoP and the hydraulic and hydrologic specialist.,0,15,0,0,0,1-May-23
3652,15,1,4,2,"The team can recommend a more conservative approach than the current science is forecasting. The design could be scaled back at the time of construction phase, if deemed desirable.",0,0,0,0,0,1-May-23
3652,21,1,16,4,Accept the risk until a decision is made on whether an EIS will be prepared. ,0,0,0,0,0,2-May-23
3711,3,1,13,4,"The PDT has been working with a Planning Mentor to help mitigate the risk. Additionally, the PDT will continue to coordinate with the FRM-PCX throughout the entire feasibility phase to reduce the probability of the risk. Finally, the PDT is using previous Section 216 studies to help understand the Section 216 authority.",0,0,0,1,0,12-Jun-23
3915,4,1,17,4,Accept risk - process of design inevitably leads to additional or changed scope and cost increases.,24000000,0,1,1,0,7-Jun-23
3711,8,1,16,2,"To mitigate this risk, the PDT will regularly coordinate with the resource agencies. If, in the future, the PDT experiences problems with communication with the resource agencies, the PDT will bring this concern to their supervisors.",0,0,1,0,0,13-Jun-23
3711,5,1,13,2,"The PDT will reduce this risk by:
1. Continued coordination with NAD, the review team, other experienced PMs, and the FRM-PCX to ensure that all involved understand that actions that the PDT plan to take to address this requirement.
2. Coordinate with local agencies who work in the EJ communities to ensure that the residents are aware of the study.
3. Develop materials in the main languages spoken in the communities.
4. Continually develop the study web page.
",0,0,1,0,0,13-Jun-23
3677,38,1,3,2,Use existing data where possible. One boring in each measure location that requires one. ,2000000,0,0,0,0,6-Jun-23
3430,4,1,16,2,Inclusion of additional funding in the study scope for coordination.,50000,0,1,1,0,8-Jun-23
3914,5,1,1,4,Continue to seek qualified contractors for construction of the project through the Federal acquisition process.,50000,20,1,0,0,6-Jun-23
3915,9,1,17,1,No Response Provided,0,0,0,0,0,7-Jun-23
3914,7,1,18,1,Remove from project.,0,15,1,0,0,6-Jun-23
3914,8,1,3,2,Solicit for vibracore contract to further delineate sands for nourishment,220000,120,1,0,0,6-Jun-23
3914,8,2,3,4,Accept that nourishment material may have to be hauled a longer distance,250000,30,0,0,0,6-Jun-23
3914,8,3,3,2,Deploy rock boxes for beach placement screening,1000000,90,0,0,0,6-Jun-23
3914,4,1,10,4,Coordinate with government resource agencies and work closely with environmental ,0,0,0,0,0,6-Jun-23
3915,1,1,17,6,Exploit risk. Use past record of scheduling difficulty to pressure upper management and leadership into making decisions promptly to avoid delays on this project.,0,0,0,1,0,7-Jun-23
3915,6,1,17,3,No Response,0,0,1,0,0,7-Jun-23
3915,11,1,17,3,Project Book Effort defined program requirements to current needs ,0,0,1,0,0,7-Jun-23
3915,13,1,17,3,No Response Provided,0,0,0,0,0,7-Jun-23
3913,3,1,14,1,"Consultation and coordination with the SHPO, tribes and the public under Section 106 of the NHPA. Development of a Programmatic Agreement, if needed. Coordinate identification efforts with geotechnical vibracore exploration.",20000,90,1,0,0,7-Jun-23
3914,2,1,9,4,Communicate to the non-Federal Sponsor the risks associated with backbay flooding for the project.,0,0,1,0,0,6-Jun-23
3554,1,1,21,4,Do nothing,0,0,0,0,0,25-Jan-23
3554,1,2,21,2,do more research,1000,60,1,0,0,25-Jan-23
3572,21,1,16,1,"We have preliminary species lists from NFMS. Based on those lists, the risk is medium as long as we continue to be transparent in our formulation.  Even if we screen out in-water features, we need to consider impacts of waterside construction. While more expensive, waterside construction may be the most efficient means in some areas.",0,0,1,1,0,1-Mar-23
3572,21,2,16,1,The NEPA Budget and Schedule includes survey work for in water surveys and assumes that we will impact EFH.  ,0,0,1,1,0,1-Mar-23
3677,19,1,4,4,Determine acceptance of using current model with known uncertainty. Move forward with current model and accept risk at this level of the planning phase.,0,30,1,1,0,14-Mar-23
3576,1,1,16,4,"Will still be able to capture habitat benefits, but limited to seasonal habitat. PDT anticipating more discussion with NFS to understand if there will ever be more opportunity in the future to apply all year round habitat. ",0,0,0,0,0,2-Feb-23
3130,10,1,15,2,"contracted MDC to develop ferry criteria.  Report received in March 2023
",10,10,1,1,0,14-Mar-23
3913,10,1,15,1,1. Make vertical team aware of output concern and seek assistance  2. Spend additional time trouble shooting model and finding  possible solutions.  3. Run volumes that are estimated by Beach-fx for confirmation that the volumes seem reasonable given the template and nourishment frequency.,10000,30,1,0,0,13-Jun-23
3544,11,1,20,4,accept,0,0,0,0,0,20-Mar-23
3677,16,1,14,4,"The channel has been established for a number of years, so we are going to accept the risk under the assumption that cultural resources have already been discovered and mitigated.",1000000,730,0,0,0,14-Mar-23
3130,2,1,15,4,Meeting was held in November in Akutan.,0,0,0,0,0,14-Mar-23
3574,27,1,9,4,Accept risk that additional utilities will be added between feasibility and PED.,10000,60,0,0,0,1-May-23
3914,1,1,3,2,Award vibracore contract to identify suitable sand in closer proximity.,200000,90,1,0,0,6-Jun-23
3544,11,2,20,2,mitigate,5000,5,1,0,0,20-Mar-23
3915,12,1,17,1,Escalate Risk: Inform leadership immediately for engagement on timely responses from VA. Continue to have constant communication on the risk.,0,0,1,0,0,7-Jun-23
3914,1,2,3,4,Accept that available sands may have to be transported a longer distance. ,1000000,30,0,0,0,6-Jun-23
3544,18,1,3,2,asdf,20000,90,1,0,0,31-May-23
3572,12,1,4,2,"While information is being gathered and processed to develop numerical model inputs, a refinement period is scheduled for the coastal model.  This period will include identifying all changes necessary to the inputs and numerical models to reduce future schedule delays due to compatibility issues.",0,0,1,1,0,23-Mar-23
3913,11,1,17,1,1. Engage with CSRM PCX to schedule an IEPR. 2) Adjust project schedule and re-work budget.,120000,60,1,1,0,13-Jun-23
3691,4,1,4,4,"Coordinate further with CSRM-PCX on approval for models to ensure our models are approved, and submittal for review is done well in advance to allow ample time for review.",0,0,0,0,0,23-Mar-23
3691,5,1,4,2,"Through coordination with local agencies and organizations we can determine this issue early on and focus efforts on effective sediment sources.

# Need additional feedback on the site conditions in terms of sediment availability and odds of needing alternative sources & delivery mechanism. Also need an estimate on cost and time to resolve issue.",0,0,0,0,0,24-Mar-23
3913,12,1,4,1,"1) Reach out to vertical team to strategies solutions. 2) Acquire additional data and input into models, as needed.  3) Examine the results and share with PDT. 4) Adjust benefits calculations and formulation, as needed.",25000,60,1,0,0,13-Jun-23
3913,14,1,15,1,1) Examine a sample of first floor elevations. 2) Use RS means (tool) to update values. ,20000,30,1,0,0,13-Jun-23
3915,14,1,17,3,Discussed with Campus for phasing of construction and implication for swing space requirements,0,0,1,0,0,7-Jun-23
3652,14,1,20,2,"The PDT will develop a community outreach plan that parallels the technical/planning/NEPA process to ensure community opportunities to participate in the process.  Where we can't avoid cutting access off, there will be plenty of opportunity to explain why and what alternatives were evaluated.",0,20,0,0,0,1-May-23
3544,18,2,3,4,asdf,1000000,30,0,0,0,31-May-23
3677,26,1,16,2,Conduct Phase I assessment early in the study process,50000,90,1,1,0,6-Jun-23
3571,2,1,4,4,Study will look at different amounts of SLC,0,0,1,1,0,20-Jun-23
3913,15,1,20,5,1) Inform leadership and command. 2) Meeting with resource agencies. 3) Engagement with adjacent communities related to regulatory actions. 4) Develop plan of action or scenario for sharing of available resources.,25000,60,1,0,0,13-Jun-23
3677,26,2,16,1,Avoid areas of HTRW identified when siting measures,50000,90,1,0,0,6-Jun-23
