RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,USACE_ORGANIZATION,P2_PROGRAM_CODE,P2_NUMBER,DISTRICT_CODE,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DESC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISK_MANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACT,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCE_IMPACT_DESC,PERFORMANCEIMPACT_RISK_RANKING,PERFORMANCE_RANK_DESC,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,COST_RISK_RANKING,COST_RANK_DESC,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,SCHEDULE_RANK_DESC,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,ENTERED_BY_USER,COST_IMPACT_DISTTYPE,COST_IMPACT_DISTDESC,SCHEDULE_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTDESC,NO_PERFORMANCE_IMPACT,NO_PERFORMANCE_IMPACT_TEXT,NO_COST_IMPACT,NO_COST_IMPACT_TEXT,NO_SCHEDULE_IMPACT,NO_SCHEDULE_IMPACT_TEXT
11,PLP-11,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Arsenic Mobilization,Legal or Regulatory Actions,10,The risk of arsenic and metals mobilization and exceedance of the CWA Class III criterion was deemed high. The arsenic mobilization risk is closely tied to the type of pretreatment performed. The advanced pretreatment included in the LOWRP PIR/EIS to meet all Safe Drinking Water Act (SWDA) criteria is needed to comply with the Florida Department of Environmental Protection (FDEP) regulatory requirements. Results in a major risk for undesirable levels of arsenic in the recovered water delivered to the receiving surface water bodies.,4,Very Likely,Very Likely (70% to 90%),"Mobilization of arsenic and other metals due to reactions between recharge treated surface water and aquifer minerals has been observed at other ASR systems in south Florida, and the potential for these reactions exist at LOWRP ASR systems.",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,3,Human Health and Safety,"Project Performance Impacts included increased cost, delayed schedule, and the possibility of a necessary redesign due to the following findings. Metals (including arsenic) concentrations may exceed the SDWA criterion of 10 micrograms per liter (ng/l) in the UFA and APPZ and may also exceed the Clean Water Act (CWA) Class III surface water criterion of 50 micrograms per liter.",10,,3,Medium,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
12,PLP-12,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,ASR Technology Increased Cost,Resource Availability,5,"Due to changes in the technology and/or water quality requirements, authorized total construction cost could increase which would impact the cost-benefit ratio of the project.
",3,Likely,Likely (50% to 70%),"With the development of new technology and WQ requirements, cost-benefit ratio should be reevaluated to reflect updated information. 
",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,8,Agency Strategy,"Performance Impacts included increased cost and possible schedule delays as cost-benefit ratio of project is balanced due to new technology available and updated water quality requirements. 
",5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
1,PLP-1,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Tribe Acceptability,"Stakeholder, Sponsor or Partners",9,Study area includes two reservations of federally recognized Tribes (Seminole Tribe of Florida & Miccosukee Tribe of Indians) and their cooperation and acceptance are crucial to accomplish the goals and objectives of WERP.,1,Very Unlikely,Very Unlikely (5% to 30%),"Event likelihood is low because the WERP team has been actively engaged with the Tribes and frequently requesting feedback. TSP was conceptualized in coordination with the whole PDT, including the Tribes, NFS and stakeholders.",,13,Planning - Plan Formulation,PLP,9416,Jessica Smith,5,Other,"One of the Tribes will not provide information outside of the G2G meetings and therefore anything other than having frequent meetings with the tribe would limit our ability to work with them on this study. Loss of Tribal support, and diminished relationships/trust would hinder efforts to implement WERP objectives. ",10,,2,Low,40000,0,100000,"Tribal involvement needed because we need to flow water across their Reservations to accomplish restoration throughout the study area. The evidence for the time and cost for the additional G2G coordination is based on tracking the resources needed in the first 4 months of conducting this level of G2G coordination in WERP (Nov 2016 - Feb 2017, 3 months -cumulative- and $200K).",2,Low,0,0,60,,2,Low,1,1,Active,4,Planning,2,Alternatives ,21-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
2,RLE-2,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Real Estate Impacts to Private Lands,Agency Policy and Process,7,"Significant schedule delays or even study termination as a result of no RE solution that allows ownership retainment of properties. The project cannot impact certain properties (Change hydroperiod, stage, duration) through WERP Implementation. We are considering flowage easements (nonstandard for ecosystem restoration) instead of fee for some properties. ",3,Likely,Likely (50% to 70%),Project was almost terminated in 2019 as a result of significant RE issues and negative public feedback.,,18,Real Estate,RLE,420,Brad Foster,5,Other,"If unresolved, project will lose support from stakeholders. ",10,,3,Medium,40000,0,100000,Approximate cost to address additional study performance questions.,2,Low,0,30,90,,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,420,Brad Foster,306,Uniform Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
3,PLP-3,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Quantitative Water Quality Requirements Needed,Info and Data Analysis,1,"Current standards are narrative, not numeric. FDEP developing. Need details form SFWMD on implementation of source controls to reduce Total Phosphorus. More information needed (precisely how much phosphorus to be reduced) to achieve project objectives. ",3,Likely,Likely (50% to 70%),"Currently, current standards are qualitative, not quantitative and there is a reliance on non-Federal sponsor to address WQ in West-Feeder Basin.",,13,Planning - Plan Formulation,PLP,420,Jessica Smith,6,Compliance,May result in lack of information and resources to fully address any potential stakeholders' questions.,10,,3,Medium,20000,0,60000,"Approximate cost to address additional study performance questions.
",2,Low,15,0,30,Approximate time to address additional study performance questions.,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
4,PLP-4,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Aggressive Schedule to a Chief's Report,Agency Policy and Process,7,The Draft Report is scheduled to be released in October for concurrent review. Completing a Chief's Report by 31 May 2024 to meet WRDA 2024 is extremely aggressive. This schedule assumes compressed review times that may be difficult to achieve. ,2,Unlikely,Unlikely (30% to 50%),Leadership guidance is to meet aforementioned schedule and we do not know the availability of reviewers to meet the compressed review timelines. ,,13,Planning - Plan Formulation,PLP,420,Jessica Smith,7,Agency Reputational,"The non-Federal sponsor, the Tribes, many other stakeholders and USACE leadership all want the Chief's Report in time for WRDA 2024. If proposed deadline is missed, stakeholders will have the perception USACE has failed, and relationships will be damaged. ",10,,3,Medium,0,0,0,,0,No Risk,0,0,45,,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,0,No Schedule Impact
5,PLP-5,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Optimization: Reduce or Eliminate Real Estate Effects,Agency Policy and Process,7,Initial modeling showed induced off-site impacts. The locations are not areas where we will claim ecosystem benefits. Refinement may not reduce RE effects enough to move forward with alternative. ,1,Very Unlikely,Very Unlikely (5% to 30%),Optimizing the alternative is expected to reduce off-site impacts. ,,13,Planning - Plan Formulation,PLP,420,Jessica Smith,8,Agency Strategy,,5,Minor Problem,2,Low,10000,20000,20000,Cost is for modeling the optimized alternatives followed by post-processing and interpreting the results.,2,Low,0,15,30,The estimated days are short because this alternative was already modeled and only small changes to structures were expected to be sufficient to avoid off-site impacts. ,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
6,PLP-6,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Joint Stormwater Treatment Area,Agency Policy and Process,7,"Team made assumption during plan formulation to propose STAs that included the portion of treatment that SFWMD is responsible for with the portion to treatment that is needed for restoration.  DMSTA model was used to size the STAs to treat to 13 ppb phosphorus.  This represents a numeric interpretation of the narrative standard developed by FDEP.  The state portion of the STAs would treat to 36 ppb. The team decided to pursue one joint STA based on the interpretation of the 2007 Woodley Memo. 
Risk associated with a joint STA is that the Vertical Team may not agree with interpretation of Woodley Memo that full construction can be cost shared, with OMRR&R being 100% non-federal to 36 ppb and then 50/50 cost share from 36 to 13 ppb.",3,Likely,Likely (50% to 70%),"It is likely that support for construction at 50/50 cost share will likely drive a need for a cost share policy decision to be made by ASA(CW). O&M cost share discussions are likely to be determined by a policy determination, as well. 

Risk consequence is lack of project support. One example is a different interpretation applied to the EAA project in 2019, although that project was subject to the Consent Decree and had a different source of water.",,13,Planning - Plan Formulation,PLP,420,Jessica Smith,8,Agency Strategy,,5,Minor Problem,2,Low,40000,0,100000,Two WQ cost share white papers were shared with Vertical Team in Spring 2022. WQ Tiger Team Meetings held August to December 2022. Two Issue Resolution Conferences held December 2022. No solution reached. Additional coordination required.,2,Low,0,0,120,"Additional time needed to reach policy position on the STAs. HQ Direction is to maintain schedule to make WRDA 24, prepare Draft PIR/EIS with existing assumption; resolution of cost sharing will continue to be pursued. ",2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
7,PLP-7,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Uncertainty: RSM-GL model,Info and Data Analysis,1,"RSM-GL cells size for WERP are about 600 acres. High uncertainty could result in a conservative (high) cost estimate for the real estate analysis (needed to satisfy Savings Clause and ensure features are included in cost estimates), or tribal opposition to the project which may ultimately extend the study schedule during review and/or may result in the need to re-study the project via a PACR prior to PED in order to accurately assess water supply and flood risk impacts and update features/costs if required.",1,Very Unlikely,Very Unlikely (5% to 30%),"There are opportunities to refine the plan and design during the study and also during PED for minor changes. However, this risk has been considered early in plan formulation to prevent choosing a TSP that would be too hard to adjust in PED while maintaining benefits (such as a TSP that focuses fully on backfilling versus operable structures).
",,13,Planning - Plan Formulation,PLP,420,Jessica Smith,8,Agency Strategy,,5,Minor Problem,2,Low,40000,0,100000,"Significant time and cost increases during PED. Previous CERP projects such as Broward County WPA, IRL South have had challenges in PED with Savings Clause/Assurances that originated from modeling uncertainties during PIR phase resulting in significant time and cost increases during PED.",2,Low,15,0,120,Approximate time to address additional study performance questions.,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
8,PLP-8,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Cultural Resources,Site Conditions,6,"If unknown cultural resources are discovered, higher cost and schedule delays during PED phase: further investigations and/or major delays in construction to avoid impacting cultural resources that were not known in the study.",4,Very Likely,Very Likely (70% to 90%),"Since two Tribal Reservations exist within our study area, we have a high likelihood of having cultural resources in the region that we could overlook during plan formulation.
",,13,Planning - Plan Formulation,PLP,420,Jessica Smith,5,Other,,5,Minor Problem,2,Low,40000,0,100000,"If unknown cultural resources are discovered, study delays and cost increase to be expected. 
",4,High,0,0,60,"If unknown cultural resources are discovered, study delays and cost increase to be expected. 
",3,Medium,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
9,PLP-9,1664,C&SF: CERP: Western Everglades Restoration Project,Jacksonville District(SAJ),,456218,SAJ,Burial Resources Agreement,Agency Policy and Process,7,Discovering burial resources during PED would require redesign and have an impact on Tribal trust.,3,Likely,Likely (50% to 70%),"Likelihood is significant due to the location of two Tribal Reservations in the area and long history of Tribal use of the study area. Consequence is high due to expense and delays associated with redesign in PED and the effects of loss of trust.
",,13,Planning - Plan Formulation,PLP,420,Jessica Smith,5,Other,,5,Minor Problem,2,Low,40000,0,100000,"If new burial resources are discovered, study delays and cost increase to be expected. 
",4,High,0,30,120,"If new burial resources are discovered, study delays and cost increase to be expected. 
",3,Medium,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,24-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,302,Triangular Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
