PROJECT_ID,PROJECT_NAME,P2_NUMBER,CWIS,CAP,USACE_ORGANIZATION,DISTRICT_CODE,PROGRAMTYPEID,PROGRAMTYPENAME,PROGRAMTYPECODE,PRIMARYMISSIONID,PRIMARYMISSION,STUDYTYPEID,PROJECT_LATITUDE,PROJECT_LONGITUDE,LIFECYCLEPHASEID,LIFECYCLEPHASENAME,LIFECYCLEPHASEBUDGET,LIFECYCLESTARTDATE,LIFECYCLEENDDATE,EDITDATE,ORG_ORDER,PROG_TYPE_ORDER,PRIM_MISSION_ORDER
2969,Ponte Vedra Beach CSRM,479264,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,1,30.09999,-81.3414,4,Planning,3000000,4/19/2021,4/19/2024,3/15/2023,27,1,4
3691,"San Diego County Shoreline - Oceanside, CA, Mitigation Study",104714,,no,Los Angeles District(SPL),SPL,1,Civil Works,cw,4,Coastal Storm Risk Management,10,33.1997,-117.38913,4,Planning,1800000000,11/3/2022,11/3/2025,3/22/2023,33,1,4
3555,St. Augustine Back Bay CSRM,479265,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,1,29.89423,-81.31393,4,Planning,0,1/9/2023,1/9/2026,1/26/2023,27,1,4
3773,Sea Bright to Manasquan GRR,494595,,no,New York District(NAN),NAN,1,Civil Works,cw,4,Coastal Storm Risk Management,1,40.35801,-73.96794,4,Planning,3000000,10/18/2022,10/18/2025,4/12/2023,16,1,4
2307,"Miami-Dade Back Bay Coastal Storm Risk Management Feasibility Study, Miami-Dade County, Florida",476677,,no,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,1,25.74449,-80.18136,4,Planning,8500000,10/1/2018,8/31/2027,5/15/2023 1:41 PM,17,1,4
3229,"Lower Osage River, MO",464838,,no,Kansas City District(NWK),NWK,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,38.25428,-92.305941,4,Planning,3000000,9/16/2022,1/16/2023,3/27/2023 7:41 PM,19,1,6
3831,Imperial Streams and Salton Sea Ecosystem Restoration,445445,,no,Los Angeles District(SPL),SPL,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,33.30849,-115.83886,4,Planning,3000000,12/16/2022,12/15/2025,5/1/2023,33,1,6
3731,TEST TEAM MEMBER,589000,589001,no,Baltimore District(NAB),NAB,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,38.75408,-76.37695,7,Operations and Maintenance,150000,,,4/28/2023,14,1,6
3189,"MS Riv Hatchie/Loosahatchie, MS Rvr Mi 775-736, TN & AR",445120,,no,Memphis District(MVM),MVM,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,35.361194,-90.087683,4,Planning,3000000,7/30/2021,7/1/2024,2/28/2023 7:04 PM,9,1,6
3576,Owyhee,479131,,yes,Walla Walla District(NWW),NWW,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,42.01209,-116.1446,1,Feasibility,0,2/1/2022,2/1/2024,2/2/2023,23,1,6
1664,C&SF: CERP: Western Everglades Restoration Project,456218,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,26.159769,-80.892392,4,Planning,7900000,8/16/2016,12/18/2023,2/3/2023,27,1,6
3329,"Lake Elsinore Aquatic Ecosystem Restoration CAP 206, CA",468573,,yes,Los Angeles District(SPL),SPL,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,33.661754,-117.331432,1,Feasibility,0,5/25/2021,5/8/2024,3/14/2023 11:34 PM,33,1,6
3409,PAS-Columbia Bottoms Levee Systems Setback Analysis,503396,503396,no,St. Louis District(MVS),MVS,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,10,38.805952,-90.134588,4,Planning,0,6/16/2022,6/16/2023,4/28/2023,13,1,6
3544,Test A Project,000000,,no,Institute for Water Resources(IWR),IWR,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,39.97712,-98.44629,4,Planning,3000000,1/1/2022,1/1/2025,4/5/2023 4:52 PM,40,1,6
2785,"UMRR Yorkinut Slough, IL - FWS",472174,472174,yes,St. Louis District(MVS),MVS,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,,38.933,-90.527,1,Feasibility,0,8/1/2022,11/30/2022,4/28/2023,13,1,6
3551,Spring Creek Aquatic Ecosystem Restoration,471703,,yes,Albuquerque District(SPA),SPA,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,38.83089,-104.76082,1,Feasibility,,,,1/23/2023,31,1,6
3410,"CAP Section 107 Kaskaskia River Regional Port, IL",469867,469867,yes,St. Louis District(MVS),MVS,1,Civil Works,cw,16,Inland Navigation,,38.189503,-89.895856,1,Feasibility,0,3/3/2021,9/12/2023,4/28/2023,13,1,16
3631,RumaylanDetention Facility,509717,,no,Transatlantic Division(TAD),TAD,2,Military Program,mp,118,Major Construction,,37.0042,41.84409,10,Solicitation,20981,3/19/2023,8/22/2023,2/26/2023,60,2,118
3791,TEST IIS,110000,,no,Baltimore District(NAB),NAB,4,International and Interagency Services,iis,124,International and Interagency Services (IIS),,38.75408,-76.20117,16,Planning,150000,4/1/2022,12/30/2022,4/17/2023,14,4,124
3792,"SEISMICALLY UPGRADE, RENO B2, REPLACE B1",506120,,no,Seattle District(NWS),NWS,4,International and Interagency Services,iis,124,International and Interagency Services (IIS),,43.224201,-123.367949,16,Planning,1000000,7/1/2022,10/17/2030,4/18/2023,22,4,124
