RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,P2_LOOKUP,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DISC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,CONFIDENCE,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISKMANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACTTYPE,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCEIMPACT_RISK_RANKING,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,ID_1,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,FIRST_NAME,LAST_NAME,COST_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTTYPE,NO_PERFORMANCE_IMPACT,NO_COST_IMPACT,NO_SCHEDULE_IMPACT
10,PLP-10,3069,Tampa Harbor Navigation Improvement Study,499774,Policy Exception for Additional Funding,Agency Policy and Process,7,Scope necessitates a need for a policy exception for an additional $1.5M to perform the needed analysis through the TSP. Exception request was submitted in early 2022. There is some risk and uncertainty as to whether a policy exception will be granted.,3,Likely,Likely (50% to 70%),"If a decision is not made by 1-JUL-2022, there would be significant schedule delays to realign scope of study to enable its completion in 3 years and under $3M.",,,13,Planning - Plan Formulation,PLP,514,,5,Other,Port would lose the chance for Corps to do important analysis on reducing congestion (through passing lanes) and maneuverability (turning basins),5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 3:05 PM,0,4614,Katherine,Bailey,299,299,0,0,0
11,PLE-11,3069,Tampa Harbor Navigation Improvement Study,499774,Environmental Compliance - Hardbottom & Seagrass Surveys ,Info and Data Analysis,1,"Environmental compliance such as a BO could require more extensive seagrass/channel edge surveys. Multibeam and camera drops could be needed to provide additional information. Study will use side scan sonar to better understand extent of hardbottom along channel, to complete environmental compliance during feasibility for effects analysis. Study will use existing seagrass surveys to begin assumptions for effects analysis and could propose to complete final surveys in PED/prior to construction to refine placement locations to avoid seagrass or refine effects as needed.",3,Likely,Likely (50% to 70%),Env surveys were conducted in ~2008 for Cuts A and B. Agencies likely have seagrass surveys that could be used for planning purposes and effects analysis.,,,16,Planning - Environmental,PLE,8837,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 3:07 PM,0,4951,Juliana,Matiz,299,299,0,0,0
12,PLE-12,3069,Tampa Harbor Navigation Improvement Study,499774,UMAM Impact Analysis,Info and Data Analysis,1,"Team will use UMAM for impacts analysis, NMFS HCD is onboard. There could be risk if support changes",1,Very Unlikely,Very Unlikely (5% to 30%),"This was coordinated with NMFS HCD in an email on 10-DEC-2021, where NMFS HCD agreed with the path forward to use this model.",,,16,Planning - Environmental,PLE,8837,,5,Other,Team would need to re-coordinate model for effects analysis,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 3:07 PM,0,4614,Katherine,Bailey,299,299,0,0,0
13,PLP-13,3069,Tampa Harbor Navigation Improvement Study,499774,Scope Selection ,Agency Policy and Process,7,"Team has evaluated scopes relative to key problems, for multiple parameters of time and funding, under 9 key risk drivers. This scope still has many challenges but the over risk to completing it in the funding/timeframe is medium. The team will proceed with scope 2 for the study analysis, per Port decision at meeting on 12/8/2021 (analysis of incremental deepening, incremental wideners for transitions, passing lanes and turning basins, as well as beneficial use).",1,Very Unlikely,Very Unlikely (5% to 30%),Very low likelihood. Team has evaluated scope.,,,13,Planning - Plan Formulation,PLP,514,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,5/18/2023 6:44 PM,0,4951,Juliana,Matiz,299,299,0,0,0
14,ESD-14,3069,Tampa Harbor Navigation Improvement Study,499774,Ship Simulation ,Info and Data Analysis,1,Study will include ship simulation during feasibility study for passing lane and turning basin analysis for design and optimization of footprint. Ensure have adequate time and funding to include it. ,2,Unlikely,Unlikely (30% to 50%),"Unlikely, ROM costs and timeframe has been included in the study scope and budget.",,,6,Engineering - Structural Design,ESD,2963,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 6:10 PM,0,4951,Juliana,Matiz,299,299,0,0,0
15,PLE-15,3069,Tampa Harbor Navigation Improvement Study,499774,EQ/OSE/RED Qualification Benefits Analysis ,Agency Policy and Process,7,"Risk that EQ/OSE/RED quantification benefits analysis is new, and many districts may be doing it differently, making it difficult to know what the standard process should be to meet policy requirements. Also, given the post-pandemic world many business and operations are changing and may change during or after the analysis.",3,Likely,Likely (50% to 70%),Somewhat likely given new guidance without implementation guidance,,,15,Planning - Economics,PLE,2265,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 6:33 PM,0,4951,Juliana,Matiz,299,299,0,0,0
16,PLE-16,3069,Tampa Harbor Navigation Improvement Study,499774,Design Vessel Selection ,Info and Data Analysis,1,"Ensure that the proper design vessel(s) are selected/explored when evaluating the potential scope of the study. Risk of a poor planning decision if study team doesn't holistically look at the vessels utilized at the neighboring ports such as Mobile, New Orleans, and Houston.",2,Unlikely,Unlikely (30% to 50%),1-MAR-22: Design Vessel was selected and PTB concurred with the appropriateness of its use.,,,15,Planning - Economics,PLE,2265,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,5/18/2023 6:47 PM,0,4951,Juliana,Matiz,299,299,0,0,0
17,ESD-17,3069,Tampa Harbor Navigation Improvement Study,499774,Deepening beyond 50 feet ,Info and Data Analysis,1,"Preliminary analysis shows that depths just off the outer entrance channel are ~50 feet. Potential deepening beyond that could cause a need to deepen beyond that, so ensure a gradual transition for vessels. This could have a large cost implication for the cost analysis pertaining to those alternatives.",3,Likely,Likely (50% to 70%),This still needs to be understood and analyzed further by the team. ,,,6,Engineering - Structural Design,ESD,2963,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 7:04 PM,0,4951,Juliana,Matiz,299,299,0,0,0
18,EHH-18,3069,Tampa Harbor Navigation Improvement Study,499774,H&H Modeling Needs ,Info and Data Analysis,1,"Numerical modeling of disposal site suitability (waves/sediment transport) as well as effects of disposal sites (flushing/circulation) may be needed later, to support env compliance. The need, extent, and type of numerical modeling has not yet been identified. When the need/extent/type of numerical modeling is identified, it could be later in the study process leading to schedule delays and cost increases.",3,Likely,Likely (50% to 70%),,,,4,Engineering - Hydrology and Hydraulics,EHH,514,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,4,4,Agency Decision,5/18/2023 7:09 PM,0,4951,Juliana,Matiz,299,299,0,0,0
19,PLP-19,3069,Tampa Harbor Navigation Improvement Study,499774,Relocation of ATONS ,Site Conditions,6,USCG ATONS will likely be affected from a TSP/recommended plan due to potential passing lanes. Relocations of ATONS must be coordinated with USCG and are also paid for Federally out of USCG. These take a lot of coordination and could be expensive. USCG needs time to vet and plan for these changes and costs. USCG may need more time or have funding constraints.,3,Likely,Likely (50% to 70%),"It is somewhat likely, but more unlikely if coordination begins early.",,,13,Planning - Plan Formulation,PLP,514,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 7:13 PM,0,4951,Juliana,Matiz,299,299,0,0,0
1,PLP-1,3130,"Akutan Harbor Navigational Improvements, AK",495160,Road not completed from Akutan Harbor to Akutan,"Stakeholder, Sponsor or Partners",9,"Road not completed from Akutan Harbor to Native Village of Akutan

May not be able to utilize Akutan Harbor to transport goods/passengers in and out of Akutan

Road was not required LSF for the Akutan Harbor Project",2,Unlikely,Unlikely (30% to 50%),"original likelihood: none

Road was not required LSF for the Akutan Harbor Project

Funding has been received to construct road and permit application with USACE updated 2023.  Materials will be stockpiled during 2023, construction 2024.",,,13,Planning - Plan Formulation,PLP,7887,,5,Other,,5,0,0,0,0,,0,0,0,,0,1,1,Active,7,Operations and Maintenance,22,22,Q1,3/14/2023 7:28 PM,0,7887,John,Olson,299,299,1,1,1
2,PLE-2,3130,"Akutan Harbor Navigational Improvements, AK",495160,Some economic benefit categories may be unknown,Info and Data Analysis,1,"Some economic benefit categories may be unknown.  On-site open discussion allows for other potential benefit categories and project impacts to come to light, without those discussion opportunities our data may be limited.  May leave unknow benefits undocumented.",3,Likely,Likely (50% to 70%),"original likelihood: low

On-site meetings planned in the near future",,,15,Planning - Economics,PLE,5479,,7,Agency Reputational,,10,3,0,0,0,,0,0,0,"andria, update??",1,7,7,Inactive - Decision Made,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 7:30 PM,0,7887,John,Olson,299,299,0,1,0
3,PLE-3,3130,"Akutan Harbor Navigational Improvements, AK",495160,Under/overestimating benefits,Info and Data Analysis,1,"Only transportation cost savings and reduced delays were considered during FID

May not account for all benefits

Could lead to inaccurate documentation of benefits and inaccurate BCR",2,Unlikely,Unlikely (30% to 50%),"original likelihood: low

Other benefits will be examined during feasibility",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,0,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 7:32 PM,0,7887,John,Olson,299,299,0,1,1
4,PLE-4,3130,"Akutan Harbor Navigational Improvements, AK",495160,Use of pre-COVID transportation data,Info and Data Analysis,1,"Decline in transportation since 2020 assumed to be solely due to COVID-19 pandemic.  Pre-pandemic transportation levels are assumed to be more accurate for long-term transportation demand.  Most recent data is not used.  Fail to capture other causes in transportation decline.  Fail to capture post-pandemic tranportation changes if transportation demand is not expected to return to pre-pandemic levels

Potential to misidentify a transportation trend that could impact the economic analysis.

Could lead to inaccurate analysis of future conditions",4,Very Likely,Very Likely (70% to 90%),"original likelihood: High

Unknown if decline was due solely to COVID-19 and only way to verify is post-pandemic transportation levels which are not available",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 7:33 PM,0,7887,John,Olson,299,299,0,0,0
5,PLE-5,3130,"Akutan Harbor Navigational Improvements, AK",495160,subsistence benefits,Site Conditions,6,"Assumed knowledge of fishing/hunting areas and project would improve access to these areas.  Fishing/hunting areas may not be completely known or the project may not improve access to the areas.  Could lead to inaccurate documentation of OSE benefits

Fishing/hunting areas may not be completely known or the project may not improve access to the areas

Could lead to inaccurate documentation of OSE benefits",1,Very Unlikely,Very Unlikely (5% to 30%),"original likelihood: low

Community meeting and reaching out to the Community POC on subsistence are planned for the near future and subsistence will be one of the topics discussed
",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 7:34 PM,0,7887,John,Olson,299,299,0,0,0
6,PLE-6,3130,"Akutan Harbor Navigational Improvements, AK",495160,Negative Impacts,Info and Data Analysis,1,May have negative impacts that we are not identifying. Might miss some negative impacts from the projects.  Could lead to inaccurate economic analysis,1,Very Unlikely,Very Unlikely (5% to 30%),"original likelihood risk: low

Community meetings are planned in the near future.  Meeting held in November.",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 7:35 PM,0,7887,John,Olson,299,299,0,0,0
7,PLE-7,3130,"Akutan Harbor Navigational Improvements, AK",495160,Project justification on NED benefits,Info and Data Analysis,1,"It is assumed that the project would be able to be justified on NED benefits due to the intitial FID analysis, however, some costs and benefits have been identified since the FID which may lead to the need to justify the project based on OSE benefits.

If the feasibility study does not identify an NED justified plan, pivoting to OSE justification will be more difficult and likely more time consuming due to data gathering and communication requirements.",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"original likelihood: Medium

If the project cannot be justified on NED benefits, the team will need to pivot to OSE justification",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 5:58 PM,0,7887,John,Olson,299,299,0,0,0
8,PLE-8,3130,"Akutan Harbor Navigational Improvements, AK",495160,Underestimating costs,Info and Data Analysis,1,"Costs for shuttle vessel, O&M for shuttle vessel and LSF were not included in the FID cost estimates.  

The absence of cost for vessel, OMRR&R and LSF could lead to inaccurate BCR

",2,Unlikely,Unlikely (30% to 50%),"original likelihood: Low

Could impact project cost
",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 6:00 PM,0,7887,John,Olson,299,299,0,0,0
9,PLE-9,3130,"Akutan Harbor Navigational Improvements, AK",495160,Misappropriation of benefits,Info and Data Analysis,1,"As shuttle transport would be a new activity, the transportation benefits may be treated as recreation benefits, not commercial benefits

Could lead to misappropriation of benefits

",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),original likelihood: not filled out.,,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 6:02 PM,0,7887,John,Olson,299,299,0,0,0
10,PLE-10,3130,"Akutan Harbor Navigational Improvements, AK",495160,Shuttle vessel operating limitations,Info and Data Analysis,1,"Based on vessel feasibility report, the shuttle vessel design would allow operation in conditions up to an 8 ft wave and a 20 knot wind, which may preclude operation for a substantial portion of time.

If vessel operating limitations are not considered it could lead to overstating benefits

Possibly lead to inaccurate economic analysis

",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"Original likelihood: low

Operational conditions will be examined during feasibility
",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 6:05 PM,0,7887,John,Olson,299,299,0,0,0
11,PLE-11,3130,"Akutan Harbor Navigational Improvements, AK",495160,Aircraft operating limitations,Info and Data Analysis,1,"Aircraft can only operate in conditions with windspeed of less than 15 knots.  This may limit the flights in and out of Akutan airport.

If aircraft operating limitations are not considered it could lead to overstating benefits
",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"Original likelihood: low

Operational conditions will be examined during feasibility",,,15,Planning - Economics,PLE,5479,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 6:07 PM,0,7887,John,Olson,299,299,0,0,0
12,PLC-12,3130,"Akutan Harbor Navigational Improvements, AK",495160,Site selection will likely be a previously impacted area.,Info and Data Analysis,1,"Historic properties are located all along the coast, the proposed project site has been previously impacted.

Historic properties are located all along the coast, the proposed project site has been previously impacted.",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"original likelihood: low

Cultural Resources coordination and analysis will occur during feasibility and PED",,,14,Planning - Cultural Resources,PLC,7887,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,3/14/2023 6:16 PM,0,7887,John,Olson,299,299,0,0,0
13,PLC-13,3130,"Akutan Harbor Navigational Improvements, AK",495160,Identify cultural resources at the site through existing doc,Site Conditions,6,"Cultural resources can include aspects like sites used for traditional dancing, greeting places, worship, etc.

May have positive economic benefits/negative impacts to cultural sites that have not been formally documented.

Possible increase in project costs and negative impacts to cultural resources",0,Extremely Unlikely,Extremely Unlikely (0% to 5%),"original likelihood: low

Cultural Resources coordination and analysis will occur during feasibility and PED",,,14,Planning - Cultural Resources,PLC,7887,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 7:16 PM,0,7887,John,Olson,299,299,0,0,0
14,PLC-14,3130,"Akutan Harbor Navigational Improvements, AK",495160,ESA/MMPA Policy Exception,Legal or Regulatory Actions,10,"There may be a need to submit a policy exception request due to blasting requirements 

Project schedule could be delayed if policy waiver is not begun early in the process

Possible delayed schedule if policy waiver is not obtained during feasibility, if needed.",3,Likely,Likely (50% to 70%),"original likelihood: low

Determination of policy waiver  is planned for early in the study to initiate a policy waiver, if required",,,14,Planning - Cultural Resources,PLC,7887,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,3/14/2023 7:19 PM,0,7887,John,Olson,299,299,0,1,0
