"PROJECT_ID","PROJECT_NAME","PROJECT_NAME_1","P2_SUB_IDENTIFIER","RISK_ID","RISK_IDENTIFIER","RISK_TREATMENT_ID","RISK_TREATMENT_IDENTIFIER","RISKOWNERDISCIPLINE","RISKTREATMENTTYPE","PROPOSED_RISK_TREATMENT","COST_IMPACT_RISK_TREATMENT","SCHEDULE_IMPACT_RISK_TREATMENT","RECOMMENDED_BY_PDT","IMPLEMENTED","LOCKSTATUS","EDITDATE"
4280,"Reedy Middle Fork Water Extension Project","Reedy Middle Fork Water Extension Project","",2,"PRM-2",1,"PRM-2-1","Project Management","Avoidance","Communicate with sponsor to promote understanding and requirement of a FONSI. ensure all steps are met prior to moving forward.",0,0,0,0,0,26-OCT-23
4280,"Reedy Middle Fork Water Extension Project","Reedy Middle Fork Water Extension Project","",3,"PRM-3",1,"PRM-3-1","Project Management","Avoidance","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract",0,0,0,0,0,26-OCT-23
4280,"Reedy Middle Fork Water Extension Project","Reedy Middle Fork Water Extension Project","",5,"PRM-5",1,"PRM-5-1","Project Management","Avoidance","Early coordination with Sponsor to request necessary information for the US FWS review.",0,0,0,0,0,26-OCT-23
4280,"Reedy Middle Fork Water Extension Project","Reedy Middle Fork Water Extension Project","",1,"PRM-1",1,"PRM-1-1","Project Management","Avoidance","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.",0,0,0,0,0,26-OCT-23
4280,"Reedy Middle Fork Water Extension Project","Reedy Middle Fork Water Extension Project","",4,"PRM-4",1,"PRM-4-1","Project Management","Avoidance","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work",0,0,0,0,0,26-OCT-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",4,"PLN-4",1,"PLN-4-1","Planning - Environmental","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project.",0,22,0,0,0,14-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",7,"PRM-7",1,"PRM-7-1","Project Management","Prevention","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",5,"PRM-5",1,"PRM-5-1","Project Management","Prevention","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",8,"PRM-8",1,"PRM-8-1","Project Management","Prevention","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",6,"PRM-6",1,"PRM-6-1","Project Management","Transfer/Share","Frequent communication with Sponsor to promote understanding of extended timeline required for claiming LERRDs crediting.",0,0,0,0,0,15-NOV-23
4312,"Broomstraw Road Waterline Extension Project Section 340","Broomstraw Road Waterline Extension Project Section 340","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work.",0,0,0,0,0,15-NOV-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",7,"PRM-7",1,"PRM-7-1","Project Management","Avoidance","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change",0,0,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project",0,22,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",4,"PRM-4",1,"PRM-4-1","Project Management","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review",0,0,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",8,"PRM-8",1,"PRM-8-1","Project Management","Prevention","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement ",0,0,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract",1,1,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",6,"PRM-6",1,"PRM-6-1","Project Management","Transfer/Share","Frequent communication with Sponsor to promote understanding of extended timeline required for claiming LERRDs crediting",0,0,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",5,"PRM-5",1,"PRM-5-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials",0,0,0,0,0,24-OCT-23
4275,"Pennsboro Wastewater Collection System Improvements","Pennsboro Wastewater Collection System Improvements","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","Sponsor needs additional time to secure additional funding before proceeding with design or construction work",0,0,0,0,0,24-OCT-23
4072,"Lower Mud","Lower Mud","",49,"CNT-49",1,"CNT-49-1","Contracting","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",11,"CNT-11",1,"CNT-11-1","Contracting","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",10,"CNT-10",1,"CNT-10-1","Contracting","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",21,"CNT-21",1,"CNT-21-1","Contracting","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",13,"EGT-13",1,"EGT-13-1","Engineering - Geotechnical","Avoidance","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",24,"EGT-24",1,"EGT-24-1","Engineering - Geotechnical","Transfer/Share","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",25,"EGT-25",1,"EGT-25-1","Engineering - Geotechnical","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",26,"EGT-26",1,"EGT-26-1","Engineering - Geotechnical","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",27,"EGT-27",1,"EGT-27-1","Engineering - Geotechnical","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",28,"EGT-28",1,"EGT-28-1","Engineering - Geotechnical","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",20,"EGT-20",1,"EGT-20-1","Engineering - Geotechnical","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",14,"OTH-14",1,"OTH-14-1","Other","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",42,"OTH-42",1,"OTH-42-1","Other","Prevention","See REF 24.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",15,"OTH-15",1,"OTH-15-1","Other","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",31,"PLC-31",1,"PLC-31-1","Planning - Cultural Resources","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",29,"PLN-29",1,"PLN-29-1","Planning - Environmental","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",18,"PLN-18",1,"PLN-18-1","Planning - Environmental","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",32,"PLN-32",1,"PLN-32-1","Planning - Environmental","Transfer/Share","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",33,"PLN-33",1,"PLN-33-1","Planning - Environmental","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",4,"PRM-4",1,"PRM-4-1","Project Management","Avoidance","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",16,"PRM-16",1,"PRM-16-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",436477,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",36,"PRM-36",1,"PRM-36-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",40,"PRM-40",1,"PRM-40-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",48,"PRM-48",1,"PRM-48-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",51,"PRM-51",1,"PRM-51-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",55,"PRM-55",1,"PRM-55-1","Project Management","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",50,"PRM-50",1,"PRM-50-1","Project Management","Prevention","See REF 13.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",9,"PRM-9",1,"PRM-9-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",2,"PRM-2",1,"PRM-2-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified. ",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",5,"PRM-5",1,"PRM-5-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",12,"PRM-12",1,"PRM-12-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",6,"PRM-6",1,"PRM-6-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",7,"PRM-7",1,"PRM-7-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",35,"PRM-35",1,"PRM-35-1","Project Management","Transfer/Share","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",41,"PRM-41",1,"PRM-41-1","Project Management","Transfer/Share","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",52,"PRM-52",1,"PRM-52-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",30,"RLE-30",1,"RLE-30-1","Real Estate","Avoidance","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",37,"RLE-37",1,"RLE-37-1","Real Estate","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",38,"RLE-38",1,"RLE-38-1","Real Estate","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",39,"RLE-39",1,"RLE-39-1","Real Estate","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",19,"RLE-19",1,"RLE-19-1","Real Estate","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",22,"REG-22",1,"REG-22-1","Regulatory","Prevention","ref. 83",1320000,0,0,0,0,15-AUG-23
4072,"Lower Mud","Lower Mud","",43,"EPE-43",1,"EPE-43-1","Construction - Project Engineer","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",46,"EPE-46",1,"EPE-46-1","Construction - Project Engineer","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",47,"EPE-47",1,"EPE-47-1","Construction - Project Engineer","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",23,"EPE-23",1,"EPE-23-1","Construction - Project Engineer","Prevention","For Medium & High Risk Items, the team needs to identify suggested risk reduction measures...Avoid, Escalate, Exploit, Transfer/Share, Mitigate/Enhance, or Accept.",65000,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",34,"EPE-34",1,"EPE-34-1","Construction - Project Engineer","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",44,"EPE-44",1,"EPE-44-1","Construction - Project Engineer","Transfer/Share","Low risk item therefore not quantified.",0,0,0,0,0,17-AUG-23
4072,"Lower Mud","Lower Mud","",45,"EPE-45",1,"EPE-45-1","Construction - Project Engineer","Transfer/Share","Low risk item therefore no risk reduction measure identified.",0,0,0,0,0,17-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",7,"PRM-7",1,"PRM-7-1","Project Management","Avoidance","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change",0,0,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract",1,1,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",8,"PRM-8",1,"PRM-8-1","Project Management","Prevention","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement ",0,0,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",4,"PRM-4",1,"PRM-4-1","Project Management","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review",0,0,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",1,"PRM-1",1,"PRM-1-1","Project Management","Transfer/Share","Frequent communication with Sponsor to promote understanding of next steps of the project",0,22,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",5,"PRM-5",1,"PRM-5-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials",0,0,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",6,"PRM-6",1,"PRM-6-1","Project Management","Transfer/Share","Frequent communication with Sponsor to promote understanding of extended timeline required for claiming LERRDs crediting
",0,0,0,0,0,31-AUG-23
4132,"Sarvis Fork Waterline Extension Project","Sarvis Fork Waterline Extension Project","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work

",0,0,0,0,0,31-AUG-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",6,"PRM-6",1,"PRM-6-1","Project Management","Avoidance","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.",0,0,0,0,0,20-SEP-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract",0,0,0,0,0,20-SEP-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",3,"PRM-3",1,"PRM-3-1","Project Management","Prevention","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work",0,0,0,0,0,20-SEP-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",4,"PRM-4",1,"PRM-4-1","Project Management","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review",0,0,0,0,0,20-SEP-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",5,"PRM-5",1,"PRM-5-1","Project Management","Prevention","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials",0,0,0,0,0,20-SEP-23
4173,"Mt Zion Water System Improvements Project","Mt Zion Water System Improvements Project","",7,"PRM-7",1,"PRM-7-1","Project Management","Prevention","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement",0,0,0,0,0,20-SEP-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project.",0,22,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",7,"PRM-7",1,"PRM-7-1","Project Management","Prevention","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.",0,0,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",8,"PRM-8",1,"PRM-8-1","Project Management","Prevention","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement.",0,0,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",4,"PRM-4",1,"PRM-4-1","Project Management","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review.",0,0,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",5,"PRM-5",1,"PRM-5-1","Project Management","Prevention","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials.",0,0,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",2,"PRM-2",1,"PRM-2-1","Project Management","Transfer/Share","Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract.",1,1,0,0,0,11-DEC-23
4412,"Boyd County Economic Development Site Sewer Project","Boyd County Economic Development Site Sewer Project","",3,"PRM-3",1,"PRM-3-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work.",0,0,0,0,0,11-DEC-23
