DISTRICT_ID,DISTRICT_CODE,DISTRICT_NAME,MSC,LIVESTAT,EROC,MSC_ID,SME,ID,UPDATED_FIELD_INFO
75,CX-HYD,Hydroelectric Design Center,CX,live,NA,16,no,175,NA
76,CX-JAL,Joint Airborne Lidar Bathymetry Center,CX,live,NA,16,no,176,NA
77,CX-MDC,Marine Design Center,CX,live,NA,16,no,177,NA
78,CX-RES,Real Estate Systems National Center,CX,live,NA,16,no,178,NA
79,CX-GIS,Water Resources Remote Sensing/Geographic Information Systems Center,CX,live,NA,16,no,179,NA
80,PCOP,Planning Community of Practice,PCoP,live,NA,17,no,180,NA
81,CRSubCoP,Cultural Resources Sub-CoP,PCoP,live,NA,17,no,181,NA
82,EconSubCoP,Economics Sub-CoP,PCoP,live,NA,17,no,182,NA
83,EcoSubCoP,Ecosystem Restoration Sub-CoP,PCoP,live,NA,17,no,183,NA
84,PlanSubCoP,Plan Formulation Sub-CoP,PCoP,live,NA,17,no,184,NA
