PROJECT_ID,PROJECT_NAME,P2_SUB_IDENTIFIER,RISK_ID,RISK_IDENTIFIER,RISK_TREATMENT_ID,RISK_TREATMENT_IDENTIFIER,RISKOWNERDISCIPLINE,RISKTREATMENTTYPE,PROPOSED_RISK_TREATMENT,COST_IMPACT_RISK_TREATMENT,SCHEDULE_IMPACT_RISK_TREATMENT,RECOMMENDED_BY_PDT,IMPLEMENTED,LOCKSTATUS,EDITDATE
3691,"San Diego County Shoreline - Oceanside, CA, Mitigation Study",NA,8,PLP-8,1,PLP-8-1,Planning - Plan Formulation,Prevention,"The team will attempt to minimize the risk and will do so by distributing writing tasks throughout the team, and efforts on the planner's end will be aimed at coordinating the team to proper plan formulation procedure. ",0,0,0,0,0,3/27/2023 10:31 PM
3069,Tampa Harbor Navigation Improvement Study,NA,12,PLN-12,1,PLN-12-1,Planning - Environmental,Avoidance,Team will continue to coordinate closely with NMFS HCD,0,0,1,1,0,5/18/2023 3:07 PM
3544,Test A Project,NA,15,EGT-15,1,EGT-15-1,Engineering - Geotechnical,Prevention,Gather more data,15000,30,1,0,0,4/17/2023 2:36 PM
3544,Test A Project,NA,15,EGT-15,2,EGT-15-2,Engineering - Geotechnical,Transfer/Share,No nothing,0,0,0,0,0,4/17/2023 2:36 PM
3544,Test A Project,NA,12,EEL-12,1,EEL-12-1,Engineering - Electrical,Transfer/Share,accept,0,0,0,0,0,3/23/2023 7:33 PM
3544,Test A Project,NA,12,EEL-12,2,EEL-12-2,Engineering - Electrical,Prevention,mitiaafaefe,5000,15,0,0,0,3/23/2023 7:34 PM
3069,Tampa Harbor Navigation Improvement Study,NA,18,EHH-18,1,EHH-18-1,Engineering - Hydrology and Hydraulics,Transfer/Share,"This risk would be realized during PED, when coordination with USEPA occurs for the ODMDS. Continue to coordinate with PD-E to evaluate risk moving forward into PED. ",0,0,1,1,0,11/13/2023 4:25 PM
3572,City of Boston Coastal Storm Risk,NA,28,PLE-28,1,PLE-28-1,Planning - Economics,Avoidance,The schedule includes a G2CRM model setup period to ensure that all factors impacting benefit analysis are updated specific to the Boston CSRM Study. We've already made a decision to formulate to the high and intermediate SLC scenario and have buy-in from the CPR CoP on that COA.,50000,0,1,1,0,3/29/2023 2:49 PM
3555,St. Augustine Back Bay CSRM,NA,7,OTH-7,1,OTH-7-1,Other,Prevention,Creative adaptation of low fidelity model,0,0,1,1,0,3/20/2023 7:33 PM
3555,St. Augustine Back Bay CSRM,NA,1,PLP-1,1,PLP-1-1,Planning - Plan Formulation,Accept,A 3x3 policy exception waiver will be utilized and transmitted to SAD by the XXX milestone for additional time for this project,0,365,1,0,0,3/13/2023 1:59 PM
3430,LSJ Lathrop Manteca Feasibility Study,NA,11,PLN-11,1,PLN-11-1,Planning - Environmental,Prevention,"As a mitigation measure, the District has identified plan
formulation strategies to use natural and nature-based features and well as multi-purpose flood risk management and ecosystem restoration opportunities which
would include ecosystem restoration as part of the recommended plan and reduce the need for habitat mitigation.",0,0,1,0,0,4/27/2023 3:38 PM
3652,DE Inland Bay/Bay Coast,NA,17,EGT-17,1,EGT-17-1,Engineering - Geotechnical,Avoidance,"If no cost-effective source areas are identified for use, the construction plans would not include an NNBF or beach restoration unless a source area can be found. ",0,0,0,0,0,5/1/2023 6:10 PM
3574,Lower Missouri River Jefferson City L-142,NA,21,PLE-21,1,PLE-21-1,Planning - Economics,Transfer/Share,Team will evaluate the previously authorized project. ,12000,10,1,1,0,5/1/2023 7:13 PM
3574,Lower Missouri River Jefferson City L-142,NA,18,EHH-18,1,EHH-18-1,Engineering - Hydrology and Hydraulics,Prevention,Team will add increased modeling both upstream and downstream ,10000,30,1,0,0,5/1/2023 6:51 PM
3574,Lower Missouri River Jefferson City L-142,NA,19,PLE-19,1,PLE-19-1,Planning - Economics,Prevention,Team will perform additional field surveys to ensure accuracy. ,6000,0,1,0,0,5/1/2023 6:57 PM
3574,Lower Missouri River Jefferson City L-142,NA,20,PRM-20,1,PRM-20-1,Project Management,Transfer/Share,PM will continue to track but accept the risk. ,20000,60,0,0,0,5/1/2023 7:05 PM
3574,Lower Missouri River Jefferson City L-142,NA,22,OTH-22,1,OTH-22-1,Other,Transfer/Share,The team will continue to communicate the study area. ,6000,0,1,0,0,5/1/2023 7:19 PM
3574,Lower Missouri River Jefferson City L-142,NA,23,PLE-23,1,PLE-23-1,Planning - Economics,Transfer/Share,The team will accept that a waiver may be needed. ,10000,60,0,0,0,5/1/2023 7:23 PM
3069,Tampa Harbor Navigation Improvement Study,NA,8,PLC-8,1,PLC-8-1,Planning - Cultural Resources,Avoidance,Team will conduct capacity analysis and least cost early to help focus on most viable options. Budget also covers cultural surveys,0,0,1,1,0,5/18/2023 2:47 PM
3544,Test A Project,NA,6,PLC-6,1,PLC-6-1,Planning - Cultural Resources,Transfer/Share,nothing;fna[39,5,50,0,0,0,1/24/2023 2:10 PM
3652,DE Inland Bay/Bay Coast,NA,3,PLN-3,1,PLN-3-1,Planning - Environmental,Prevention,The mitigation strategy is to formulate alternatives that avoid the CBRA areas. ,0,0,0,1,0,4/25/2023 12:58 PM
3677,Capstone,NA,20,EPE-20,1,EPE-20-1,Construction - Project Engineer,Avoidance,Identify potential irrigation access points.,20000,0,0,0,0,3/14/2023 2:16 PM
3677,Capstone,NA,13,EHH-13,1,EHH-13-1,Engineering - Hydrology and Hydraulics,Transfer/Share,The PDT will scope for the 200 year protection because of the Non-Fed preference and to see its feasibility and effects on econ and cost,250000,60,0,0,0,3/14/2023 2:26 PM
3677,Capstone,NA,14,EHH-14,1,EHH-14-1,Engineering - Hydrology and Hydraulics,Transfer/Share,Data should still be applicable. Data will be evaluated to verify applicability.,0,30,0,0,0,3/14/2023 2:22 PM
3677,Capstone,NA,18,EHH-18,1,EHH-18-1,Engineering - Hydrology and Hydraulics,Accept,"Determine quality model, contact ERDC",60000,90,0,0,0,3/14/2023 2:28 PM
3069,Tampa Harbor Navigation Improvement Study,NA,20,PLN-20,1,PLN-20-1,Planning - Environmental,Accept,Maintain consistent coordination with agency partners and vertical team to relay schedule and importance of obtaining BOs per schedule. ,0,0,1,1,0,11/13/2023 4:29 PM
3555,St. Augustine Back Bay CSRM,NA,2,PLC-2,1,PLC-2-1,Planning - Cultural Resources,Avoidance,Surveys will be completed during Feasibility Phase to ensure least impactful project footprint,0,0,1,0,0,3/14/2023 3:31 PM
3574,Lower Missouri River Jefferson City L-142,NA,6,RLE-6,1,RLE-6-1,Real Estate,Avoidance,"At this point, the next steps are not yet determined and are contingent upon the PDT's decision on the path forward. Therefore, we will need to wait until a decision has been made before proceeding with any further actions.",50000,180,0,0,0,4/14/2023 6:40 PM
3691,"San Diego County Shoreline - Oceanside, CA, Mitigation Study",NA,2,EHH-2,1,EHH-2-1,Engineering - Hydrology and Hydraulics,Transfer/Share,"The team is recommended a more conservative approach than the current science is forecasting. Current science indicates a likelihood of low sea level rise at this location. The team is proposing to use a moderate sea-level rise for modeling. The design could be scaled back at the time of construction phase, if deemed desirable.",0,0,0,0,0,3/22/2023 10:22 PM
3069,Tampa Harbor Navigation Improvement Study,NA,20,PLN-20,2,PLN-20-2,Planning - Environmental,Avoidance,"Assess whether species impacts could be avoided (e.g., through prohibiting hopper dredging) to allow us to move forward without obtaining a NMFS biological opinion. This would require determining the cost impacts - they could be negligible, as hopper dredging is not currently anticipated to be used. The BO could continue to be pursued during PED to ultimately allow hopper dredging. ",0,0,0,0,0,11/13/2023 4:41 PM
4312,Broomstraw Road Waterline Extension Project Section 340,NA,1,PRM-1,1,PRM-1-1,Project Management,Prevention,Frequent communication with Sponsor to promote understanding of next steps of the project.,0,22,0,0,0,11/14/2023 8:21 PM
3555,St. Augustine Back Bay CSRM,NA,3,PLN-3,1,PLN-3-1,Planning - Environmental,Transfer/Share,"Wetland surveys have been included in the study's schedule and budget. 
Determination of need for wetland surveys will occur during development of the alternatives.",0,0,1,0,0,4/4/2023 7:47 PM
3430,LSJ Lathrop Manteca Feasibility Study,NA,9,PLE-9,1,PLE-9-1,Planning - Economics,Prevention,Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,0,0,0,0,0,4/6/2023 6:17 PM
3430,LSJ Lathrop Manteca Feasibility Study,NA,10,PLE-10,1,PLE-10-1,Planning - Economics,Prevention,Risk resolved - The study team plans to utilize both HEC-FDA and TotalRisk.,0,0,0,0,0,4/6/2023 6:25 PM
3574,Lower Missouri River Jefferson City L-142,NA,16,PLN-16,1,PLN-16-1,Planning - Environmental,Avoidance,Coordinate with FAA and airport personnel to determine acceptable locations for borrow area and wetland mitigation area placement.,50000,30,0,0,0,4/28/2023 11:27 PM
4311,"NESP Lock and Dam 25 New 1,200 ft Lock",NA,4,PRM-4,1,PRM-4-1,Project Management,Prevention,"Utilization of the IDaC methodology integrates the contractor into the design so USACE can properly collaborate between the end-user, the contractor and the designers. ",20000000,0,1,0,0,11/14/2023 9:11 PM
3652,DE Inland Bay/Bay Coast,NA,12,OTH-12,1,OTH-12-1,Other,Prevention,"Identifying the risk in feasibility and identifying the stakeholders and utility owners will mitigate the risk.  Additionally, involving the correct stakeholders will ensure the appropriate level of contingency and risk is included in the cost analysis which feeds the total project cost presented to Congress for authorization.",0,0,0,0,0,5/1/2023 12:22 PM
3652,DE Inland Bay/Bay Coast,NA,13,EGT-13,1,EGT-13-1,Engineering - Geotechnical,Prevention,"During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,0,0,0,5/1/2023 12:28 PM
2126,Amite River and Tributaries - East of the MS River Analysis,NA,2,PLP-2,1,PLP-2-1,Planning - Plan Formulation,Transfer/Share, 1) Mitigation will be documentation in the revised draft report the rationale of moving forward with the LPP and performing the EJ outreach meetings and surveys. 2) Request professional judgement opinion from FRM-PCX and/or RMC regarding the technical acceptability of the dam construction (i.e.. engineers that is not technically feasible because of Geotech concerns). 3)NS TSP selection ensure documentation in risk register regarding implementation concerns for disadvantage communities/population. 4) Vertically align on associated policy concerns. 5)Full vertical alignment with integrated policy and legal compliant review team (P&LCRT).6) HQ Functional Leads concurrence on path forward ,0,240,1,0,0,6/2/2023 7:18 PM
3544,Test A Project,NA,16,PRM-16,1,PRM-16-1,Project Management,Mitigation,stakeholder responsibility,50,500,0,0,0,5/19/2023 2:26 PM
3544,Test A Project,NA,17,EPE-17,1,EPE-17-1,Construction - Project Engineer,Transfer/Share,no nothing,0,0,1,1,0,5/25/2023 1:26 PM
3544,Test A Project,NA,8,OTH-8,1,OTH-8-1,Other,Prevention,Test,10000,45,1,0,0,2/13/2023 5:29 PM
3915,"Seismically Upgrade, Reno B2, Replace B1",NA,10,PRM-10,1,PRM-10-1,Project Management,Avoidance,No Response Provided,0,0,0,0,0,6/7/2023 4:27 PM
4311,"NESP Lock and Dam 25 New 1,200 ft Lock",NA,1,EGT-1,1,EGT-1-1,Engineering - Geotechnical,Prevention,"The team is working to procure the services from an external entity such as USBR, ERDC or AE. ",0,0,1,1,0,11/14/2023 7:56 PM
4311,"NESP Lock and Dam 25 New 1,200 ft Lock",NA,2,PRM-2,1,PRM-2-1,Project Management,Transfer/Share,There is no cost effective way to mitigate for this risk because the mitigation itself is the involvement of the IDaC contractor.,0,0,1,1,0,11/14/2023 8:10 PM
3677,Capstone,NA,35,EHH-35,1,EHH-35-1,Engineering - Hydrology and Hydraulics,Transfer/Share,"Should the modeling demonstrate that the flow in not able to be restored, the PDT would have to identify a new alternative or abandon project.",400000,180,1,1,0,6/6/2023 1:04 PM
3677,Capstone,NA,35,EHH-35,2,EHH-35-2,Engineering - Hydrology and Hydraulics,Transfer/Share,"Should the modeling demonstrate that the flow in not able to be restored, the PDT would have to identify a new alternative or abandon project.",400000,180,1,1,0,6/6/2023 1:04 PM
3677,Capstone,NA,29,PLC-29,1,PLC-29-1,Planning - Cultural Resources,Avoidance,"Based on desktop investigations (no field surveys yet) avoid any areas that show cultural sensitivity, or have a possibility of recovering artifacts.",0,0,0,0,0,6/6/2023 1:00 PM
3677,Capstone,NA,29,PLC-29,2,PLC-29-2,Planning - Cultural Resources,Prevention,"Assumes cultural resources within design footprint, complete mitigation activities such as removal of sensitive artifacts, coordination with Tribes, State SHPO, other interested stakeholders. ",500000,540,0,0,0,6/6/2023 1:06 PM
3677,Capstone,NA,30,EGT-30,1,EGT-30-1,Engineering - Geotechnical,Avoidance,Complete more geotechnical surveys to reduce risk.,550000,200,1,0,0,6/6/2023 1:06 PM
3914,Surf City Beach Construction PL 116-20,NA,3,EHH-3,1,EHH-3-1,Engineering - Hydrology and Hydraulics,Prevention,Development of an Adaption plan and communicate risk to NFS,50000,60,1,0,0,6/6/2023 8:34 PM
3914,Surf City Beach Construction PL 116-20,NA,6,EGT-6,1,EGT-6-1,Engineering - Geotechnical,Transfer/Share,"Use rock boxes, disposal of rock material and accept slow production.",0,45,0,0,0,6/6/2023 8:41 PM
3677,Capstone,NA,27,PLP-27,1,PLP-27-1,Planning - Plan Formulation,Prevention,Prioritize early engagement with stakeholders to evaluate feasibility and adjust project scope as necessary. ,45000,0,1,0,0,6/6/2023 1:14 PM
3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report",NA,4,PRM-4,1,PRM-4-1,Project Management,Avoidance,"1. Coordinate with supervisors about additional support. 2. Reach out to other Districts, Divisions and appropriate Communities of Practice for additional support.",15000,90,1,0,0,6/7/2023 6:04 PM
3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report",NA,6,EHH-6,1,EHH-6-1,Engineering - Hydrology and Hydraulics,Transfer/Share,"Communicate risk to senior leadership, command, and non-Federal Sponsor. ",0,0,1,0,0,6/7/2023 6:13 PM
3430,LSJ Lathrop Manteca Feasibility Study,NA,12,EHH-12,1,EHH-12-1,Engineering - Hydrology and Hydraulics,Accept,"Guidance needs to be put together by USACE technical teams, particularly the H&H Community of Practice, to determine how inland hydrology changes should be addressed.",2000000,770,1,0,0,5/5/2023 9:34 PM
3430,LSJ Lathrop Manteca Feasibility Study,NA,12,EHH-12,2,EHH-12-2,Engineering - Hydrology and Hydraulics,Prevention,The team is developing an inland climate change sensitivity analysis.,0,0,1,1,0,6/8/2023 2:00 PM
3572,City of Boston Coastal Storm Risk,NA,27,EHH-27,1,EHH-27-1,Engineering - Hydrology and Hydraulics,Prevention,"The study team is limiting the FY23 scope to refinement of existing information and updating the model for additional work in FY24. If additional work can be advanced into FY23, it will as an opportunity. The schedule impact is likely 30-90 days in the current schedule.  Under normal conditions, model runs would immediately follow refinements.",0,30,1,1,0,3/23/2023 8:14 PM
3711,"Hartford and East Hartford, CT Section 216 Levee Rehabilitation Study",NA,4,EHH-4,1,EHH-4-1,Engineering - Hydrology and Hydraulics,Prevention,"The PDT will manage this risk by:
- Meeting with the FRM-PCX to determine the amount of modeling that is needed for this study.
-Try to obtain existing modeling (MDC).
-If we cannot obtain existing, then we investigate other less expensive and time consuming solutions (e.g. identify the contactor who developed the MDC model).",0,0,1,0,0,6/13/2023 1:50 PM
3544,Test A Project,NA,5,PLC-5,1,PLC-5-1,Planning - Cultural Resources,Accept,escalate,0,0,0,0,0,1/24/2023 1:55 PM
4511,"Liverpool Flowing Side Channel, Navigation Ecosystem Sustainability Program",NA,11,PLC-11,1,PLC-11-1,Planning - Cultural Resources,Avoidance,Avoid known cultural resources/historic properties ,0,0,0,0,0,7/2/2024 7:26 PM
3572,City of Boston Coastal Storm Risk,NA,19,EGT-19,1,EGT-19-1,Engineering - Geotechnical,Prevention,"Risk assessment will include both hydraulic loading and seismic loading. USACE ERDC and USGS are currently researching the effects of sea level rise and seismic hazards. During  Study Phase, pre-existing subsurface information will be reviewed to create a conceptual site model for subsurface conditions.",0,0,1,1,0,3/1/2023 8:32 PM
3544,Test A Project,NA,5,PLC-5,2,PLC-5-2,Planning - Cultural Resources,Avoidance,risk response taken,5000,15,1,1,0,3/23/2023 7:35 PM
3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report",NA,13,PRM-13,1,PRM-13-1,Project Management,Accept,"1) Submit a 3x3x3 policy waiver, 2) communicate with vertical team increased risk and uncertainty regarding the study ",50000,60,1,1,0,6/13/2023 8:05 PM
4151,"Norfolk Harbor, VA, Anchorage F Limited Reevaluation Report",NA,6,OPS-6,1,OPS-6-1,Operations,Transfer/Share,DNODS placement is an alternate dredge material placement option for CIDMMA placement or Hampton Roads Beneficial Use placement options. The Districts acknowledges the risks it presents to schedule and budget. ,1,1,0,0,0,2/11/2024 5:29 PM
4511,"Liverpool Flowing Side Channel, Navigation Ecosystem Sustainability Program",NA,11,PLC-11,2,PLC-11-2,Planning - Cultural Resources,Avoidance,"If previously unreported cultural resources/historic properties are discovered during surveying, avoidance will be necessary. ",0,60,0,0,0,7/2/2024 7:29 PM
5412,Section 340 - Bolair Sewer Extension,NA,4,PRM-4,1,PRM-4-1,Project Management,Avoidance,Early coordination with Sponsor to request necessary information for the US FWS review,0,22,0,0,0,7/3/2024 8:01 PM
5412,Section 340 - Bolair Sewer Extension,NA,2,PRM-2,1,PRM-2-1,Project Management,Avoidance,Frequent communication with Sponsor to promote understanding of next steps of the project and requirements to bid construction contract,500,22,0,0,0,7/3/2024 6:49 PM
3544,Test A Project,NA,13,EEL-13,1,EEL-13-1,Engineering - Electrical,Transfer/Share,accept,0,0,0,0,0,3/30/2023 3:40 PM
3544,Test A Project,NA,13,EEL-13,2,EEL-13-2,Engineering - Electrical,Avoidance,do something else,5000,50,1,0,0,3/30/2023 3:41 PM
3574,Lower Missouri River Jefferson City L-142,NA,2,EGT-2,1,EGT-2-1,Engineering - Geotechnical,Prevention,Capture enough borings to get estimate of settlement along levee adequate to capture magnitude of levee height and real estate correct.,50000,180,0,0,0,4/14/2023 6:23 PM
3574,Lower Missouri River Jefferson City L-142,NA,3,EGT-3,1,EGT-3-1,Engineering - Geotechnical,Prevention,Get enough Borings to get foundation soil magnitude reasonably close.,75000,365,0,0,0,4/14/2023 6:27 PM
5412,Section 340 - Bolair Sewer Extension,NA,3,PGM-3,1,PGM-3-1,Programs Management,Avoidance,"Frequent communication with sponsor to understand Sponsor's time to begin design or construction work
",500,22,0,0,0,7/3/2024 7:58 PM
3574,Lower Missouri River Jefferson City L-142,NA,5,EHH-5,1,EHH-5-1,Engineering - Hydrology and Hydraulics,Prevention,Targeted ATR to get buy-in on FWOP conditions..,10000,30,1,0,0,4/14/2023 6:37 PM
3574,Lower Missouri River Jefferson City L-142,NA,7,PLN-7,1,PLN-7-1,Planning - Environmental,Prevention,"Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,4/14/2023 6:41 PM
3574,Lower Missouri River Jefferson City L-142,NA,7,PLN-7,2,PLN-7-2,Planning - Environmental,Prevention,"Continue coordination with wetland-related resource agencies to identify opportunities for avoiding, minimizing, and mitigating impacts.",10000,30,0,0,0,4/14/2023 6:41 PM
3574,Lower Missouri River Jefferson City L-142,NA,8,PLN-8,1,PLN-8-1,Planning - Environmental,Prevention,Continue ongoing FWCA coordination with USFWS. Continue communicating the different schedule requirements between the System Plan and Jefferson City studies to determine the most appropriate path forward on documenting fish and wildlife coordination.,50000,30,0,0,0,4/14/2023 6:44 PM
3574,Lower Missouri River Jefferson City L-142,NA,9,PLN-9,1,PLN-9-1,Planning - Environmental,Prevention,Stipulate in the alternatives that any necessary tree clearing must be conducted within the seasonal clearing window (November 1 - March 31) so that these activities are unlikely to adversely affect federally listed bat species.,1000,14,0,0,0,4/14/2023 6:46 PM
3574,Lower Missouri River Jefferson City L-142,NA,10,EHH-10,1,EHH-10-1,Engineering - Hydrology and Hydraulics,Transfer/Share,Ensure model is expanded sufficiently upstream and downstream,40000,30,1,0,0,4/14/2023 6:57 PM
3574,Lower Missouri River Jefferson City L-142,NA,11,ECV-11,1,ECV-11-1,Engineering - Civil,Transfer/Share,PDT assumes initial surveys and as-builts will be adequate; additional work will be done if risk is realized. ,20000,30,0,0,0,4/14/2023 6:59 PM
5412,Section 340 - Bolair Sewer Extension,NA,5,PRM-5,1,PRM-5-1,Project Management,Avoidance,"Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials
",500,44,0,0,0,7/3/2024 8:05 PM
3555,St. Augustine Back Bay CSRM,NA,16,PLE-16,1,PLE-16-1,Planning - Economics,Transfer/Share,"could recommend LLP and request NED exception
",0,0,1,1,0,4/26/2023 7:44 PM
3555,St. Augustine Back Bay CSRM,NA,17,PLE-17,1,PLE-17-1,Planning - Economics,Transfer/Share,"Add additional structures to inventory
",0,0,0,0,0,4/26/2023 7:53 PM
3574,Lower Missouri River Jefferson City L-142,NA,13,EGT-13,1,EGT-13-1,Engineering - Geotechnical,Prevention,Obtain additional borings if needed,100000,180,0,0,0,4/28/2023 11:15 PM
3574,Lower Missouri River Jefferson City L-142,NA,14,EGT-14,1,EGT-14-1,Engineering - Geotechnical,Prevention,Additional borings would need to be done. ,100000,180,0,0,0,4/28/2023 11:18 PM
3574,Lower Missouri River Jefferson City L-142,NA,25,PRM-25,1,PRM-25-1,Project Management,Transfer/Share,The team will implement any changes as it can and leadership expectations on project impacts should remain in check. ,50000,180,0,0,0,5/1/2023 7:41 PM
3574,Lower Missouri River Jefferson City L-142,NA,15,PRM-15,1,PRM-15-1,Project Management,Transfer/Share,The team is going to have to accept the risk and work through the process with the sponsor and team. ,20000,90,1,0,0,4/28/2023 11:24 PM
3574,Lower Missouri River Jefferson City L-142,NA,17,ECV-17,1,ECV-17-1,Engineering - Civil,Mitigation,Responsibility would be on utility owner to resolve issue and relocate utility,0,90,0,0,0,4/28/2023 11:37 PM
