"CREATION_DATE","DATE_DECISION_MADE","PROJECT_ID","PROJECT_NAME","USACE_ORGANIZATION","P2_PROGRAM_CODE","P2_NUMBER","'DL-'||D.DECISION_ID","DISTRICT_CODE","DECISION_NAME","DECISION_DESCRIPTION","IMPACTED_RISKS","IMPACTED_PHASE","LIFECYCLEPHASENAME","IMPACTED_MILESTONE","MILESTONE","APPROVED","DECISION_LEVELS","DECISION_LEVEL_DESC","DECISION_NOTES"
"2023-10-24T17:24:19.605Z","2023-10-24T04:00:00.000Z",3544,"Test A Project","Alaska District(POA)","000000","000000","DL-1","POA","TEST","SDaSFSD","",4,"Planning",1,"Project Initiation","Pending","3","Division Leadership",""
"2023-11-28T15:42:05.701Z","2023-11-28T05:00:00.000Z",3544,"Test A Project","Alaska District(POA)","000000","000000","DL-3","POA","Test Decision","","5,4",4,"Planning",2,"Alternatives ","Pending","1,3","",""
"2024-01-17T12:26:49.131Z","2022-07-06T06:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-1","SPA","Platforms for Document","PDT will use ProjectWise for document sharing, editing, and final document storage. Pictures will be shared via MS Teams site.","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Yes","1","Project Delivery Team",""
"2024-01-17T12:31:28.477Z","2023-05-01T06:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-5","SPA","Econ Model","Econ model will be set up by measure (or groups of measures) for analysis instead of analyzing by reach.","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Pending","1","Project Delivery Team","Econ model will be set up by measure (or groups of measures) for analysis instead of analyzing by reach."
"2024-01-17T12:33:20.771Z","2023-08-25T06:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-6","SPA","H&H Existing Conditions Model","Team decided to re-work the hydrology model to increase the accuracy of the storm events at extra cost and time to the project but in an effort to reduce risk of an inaccurate existing conditions model. ","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Yes","1","Project Delivery Team",""
"2024-01-17T12:28:05.187Z","2022-08-24T06:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-2","SPA","Considering Site as Three Reaches","During Site Visit (23-24 Aug 2022) PDT decided that considering the site as three separate reaches was the best way to model/plan this project. The three reaches will be known as Pikes Peak North, Former Wetland Site, and South Channel.","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Yes","1","Project Delivery Team",""
"2024-01-17T12:28:57.262Z","2022-10-26T06:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-3","SPA","Language Use for Plan Formulation","PDT will use the following language when referring to plan formulation – Measures (building block features or actions), Alternatives (different combinations of measures to create a plan).","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Yes","1","Project Delivery Team",""
"2024-01-17T12:30:17.035Z","2022-12-19T07:00:00.000Z",3551,"Spring Creek Aquatic Ecosystem Restoration","Albuquerque District(SPA)","","471703","DL-4","SPA","Climate Change Analysis","Climate Change analysis decision – qualitative analysis with strong emphasis on plant species and design ideas that can weather increases in drying periods and also handle larger storm events when they occur.","",1,"CAP Feasibility",95,"Tentatively Selected Plan ","Yes","1","Project Delivery Team",""
"2023-11-28T17:37:33.893Z","2023-10-17T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-16","NAE","Inclusion of FWOP Projects in Modeling","The city of Boston is continuing to move forward on resilience efforts in the study area concurrently with the Feasibility Study. As the study continues to evolve until ADM Milestone, the FWOP is likely to change as NF projects evolve and complete. For the initial Coastal Model, 4 projects (Langone Park, Fort Point Channel, Moakley Park, Ryan Playground). As other projects are completed, they can be incorporated into the project through adjustments in the G2CRM Economic Model. The attached information paper outlines additional projects, and processes, including risk.","4,5,28",4,"Planning",4,"Agency Decision","Pending","1,6","","Requires concurrence from L&PC Team and MSC."
"2023-11-28T16:07:19.641Z","2023-01-31T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-4","NAE","Formulate to the high and intermediate sea level change scenarios with a sensitivity analysis on the low scenario.","USACE policy is typically to formulate to all three scenarios or formulate to one scenario with sensitivity on the other two scenarios. However, due to the dense urban population, amount of space available for future adaptation, and the level of risk, the PDT requested concurrence from the CPR CoP to run a sensitivity analysis on the low scenario but formulate to the intermediate and high.","6,10,19",4,"Planning",3,"Tentatively Selected Plan","Yes","6","Other (Stakeholder, etc.)","Climate CoP- Heidi Moritz and Will Veatch"
"2023-11-28T16:58:47.533Z","2023-03-17T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-10","NAE","Work with ERDC to refine CHS and use for the Study","The City of Boston contracted out a consultant for their Climate Ready Boston reports and studies. The consultant's model is a frequency based, 2? dimensional overland flow model that incorporates wave runup and sea level change into its analysis. However, it is not a lifecycle model, nor is it compatible with G2CRM, the USACE preferred tool for economic analysis on Coastal Studies. Rather than run a detailed comparison of the two models, it was determined that refinements to CHS could be made and that the two models would result in the same planning decisions.","4,5,12,16,25,28",0,"",0,"","Yes","3","Division Leadership","IPR's were held 10 March and 15 March with the VT, HH&C CoP, CPR CoP, and the PDT to discuss
the modeling strategy and which models to use. On 17 March the PCX?CSRM Deputy briefed the
MSC Planning Chief and received concurrence to use CHS."
"2023-11-28T15:27:53.158Z","2022-08-18T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-1","NAE","Planning Charette","Planning Charette in?person in Boston, MA. 19?21 October 2022. Including the Vertical Team, CPR
CoP, PCX?CSRM, Resource Agencies, Non?federal Partner, Stakeholder groups. Cost $150K for Labor,
Travel, TDY.","",4,"Planning",2,"Alternatives ","Yes","2,3,4,5","","Due to the size, complexity, and nature of the Boston CSRM Study, it was determined that an in?person Charette over three days was an appropriate investment, despite the cost. This study is the largest feasibility undertaking in recent CENAE history; therefore, involving a larger PDT in the Charette was deemed appropriate by Decision makers."
"2023-11-28T15:34:42.368Z","2022-12-07T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-2","NAE","Decision to exclude coastal runways at Logan International Airport from study scope.","Logan International Airport is in the East Boston Neighborhood within the defined study area. MASSPORT is the state agency responsible for the airport and is conducting parallel efforts to advance resiliency at the airport. There are portions of the airport property that are in the scope of the study due to close
proximity to the community and flood entry pathways into the community. However, to include the greater coastal runway area of the airport would significantly increase the cost and scope of the study due to necessary coordination with the FAA and impacts to the fly?way. A decision was made with the non?federal partner, as well as the larger PDT to scope the coastal runways out of the study.","14",4,"Planning",3,"Tentatively Selected Plan","Yes","3,5,6","","Peter DeBruin is the MassPort POC for the Airport. Alison Brizius is the POC for the City of Boston.
Logan International Airport is in the East Boston Neighborhood within the defined study area. MASSPORT is the state agency responsible for the airport and is conducting parallel efforts to advance resiliency at the airport. There are portions of the airport property that are in the scope of the study due to close
proximity to the community and flood entry pathways into the community. However, to include the greater coastal runway area of the airport would significantly increase the cost and scope of the study due to necessary coordination with the FAA and impacts to the fly?way. A decision was made with the non?federal partner, as well as the larger PDT to scope the coastal runways out of the study.
"
"2023-11-28T16:17:29.439Z","2023-11-28T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-6","NAE","Decision to consider the entire study area as an EJ community","CEJST 1.0, the EPA EJScreen, as well as the CDC Social Vulnerability Assessment all identify Boston as historically underserved or economically disadvantaged for multiple reasons including: Flood Risk; linguistic isolation, underemployment, low income, poverty, and low high school graduation rates. This decision is necessary to ensure that emphasis and care is taken in community outreach, interpretation, and inclusion to ensure communities are not disproportionately impacted by study outcomes.","26",4,"Planning",4,"Agency Decision","Yes","2,3,4","","It was presented at the 03 February 2023 Readiness IPR call with the MSC, OWPR, CPR CoP,
and PCX?CSRM. Concurrence was reached by general consensus during the briefing."
"2023-11-28T16:27:49.165Z","2023-01-30T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-7","NAE","PMP Amendment 1 Approved","Based on MSC IPRs, PMP was amended to include EJ Community Discussion and outreach plan.","",4,"Planning",4,"Agency Decision","Yes","2,5","","No new signatures needed.  Update distributed to PDT, VT and Sponsor."
"2023-11-28T17:12:31.547Z","2023-08-29T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-11","NAE","Memorandum of Agreement between CENAE and ERDC for CHS work","CENAE will enter into an SOW with ERDC for efforts in FY23?25 for support on the Coastal Hazard System (CHS) model. The signed SOW Cover Letter will serve as the contract for scope, schedule and budgets between the two USACE Agencies.","12,25",4,"Planning",3,"Tentatively Selected Plan","Yes","2","District Leadership","Signed SOW Cover Letter received 29 August 23."
"2023-11-28T17:16:42.187Z","2023-03-22T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-12","NAE","Utilize G2CRM for Life Safety and compare it to Life Safety Risk Indicator for validation","For Pre?TSP life safety analysis on alternatives, the team will use G2CRM and compare it to the outputs of the Life Safety Risk Indicator web based tool. If the results are comparable, LifeSim will not be used to run detailed life safety analysis in the study.","16",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","","Susannah Byrd and Mike Boiardi are the Risk Cadre supporting the Study. Jesse Morrill?Winters (SPK) is
working the PDT to assist with LSRI."
"2023-11-28T17:19:24.940Z","2023-03-24T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-13","NAE","PMP Amendment 2","PMP amended to descope WHG contract from scope and schedule. Schedule and budget updated based on funding stream and post AMM updates.","12",4,"Planning",4,"Agency Decision","Yes","1","Project Delivery Team","Signatures were not required. The change in schedule and budget will require an FCSA
Amendment based on the exemption for time and schedule; that will be the binding document."
"2023-11-28T17:22:35.889Z","2023-03-24T04:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-14","NAE","Review Plan amended to remove WHG","Review Plan was amended to reflect new schedule and descoping of go consequence and MC?FRM Model","12",4,"Planning",3,"Tentatively Selected Plan","Yes","3","Division Leadership","The descoping of non?certified models simplifies the review scope and did not require a new approval by MSC."
"2023-11-28T17:27:20.955Z","2023-02-23T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-15","NAE","Request a policy exemption for schedule and budget through the Vertical Team Alignment Memo process.","Through a vertically aligned and coordinated risk management process, the study team identified a budget and schedule with reasonable certainty to complete the Study. The vertical and horizontal team identified risks and management measures tied to planning decisions and determined the schedule to be 6?years with a budget of $6.2M (including IEPR). The shared study cost is $6.0M at a 50/50 cost share ($3M Federal/$3M NFS).","",4,"Planning",6,"Chief’s Report/Director’s Report","Yes","3,4,6","","Signed by DCG-CEO: 31 July
Signed by ASA (CW): 03 Noveber 23"
"2023-11-28T15:39:37.846Z","2023-01-05T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-3","NAE","City of Boston to Lead Public Involvement","The City of Boston is best suited to lead public involvement and community outreach. They best understand the community, the messaging, the concerns, the needs, and the risks based on their experiences from 2016?2022 with Climate Ready Boston. They have the people, the tools and the methods. However, CENAE will fully support and participate in the process and the district PAO is integrated into the process. The City will receive work?in?kind credit, currently estimated at $250K.","24",4,"Planning",4,"Agency Decision","Yes","1,5","","Signed PMP includes a Communications Plan and Communications Management Plan that details this decision."
"2023-11-28T16:12:21.416Z","2023-01-30T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-5","NAE","Study Review Plan Approved","Review Plan endorsed by PCX, Approved by MSC SES and Posted.","",4,"Planning",4,"Agency Decision","Yes","3","Division Leadership",""
"2023-11-28T16:31:43.817Z","2023-02-15T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-8","NAE","Approach to evaluating Climate Change in the study area over the 1oo?year planning horizon.","Coordination was complete with the CPR CoP; PCX?CSRM; MSC and PDT to concur on the approach for modeling the impacts of Climate Change over the 100?year planning horizon. Decision was made to model the floodplain 100? year's from base year at the high SLC scenario. That FWOP will be used to qualitatively assess risk to critical resources; structures; and natural resources to ensure formulation identifies adaptable recommendations for the project beyond a 50?year period of economic analysis.","6,28,5,4",4,"Planning",4,"Agency Decision","Yes","1,3,6","","Decision with Heidi Moritz, Lisa Winter, Javier Jimenez-Vargas, Courtney Jackson, Naomi Altschul-Fraenkel, and Idris Dobbs."
"2023-11-28T16:35:10.315Z","2023-02-15T05:00:00.000Z",3572,"City of Boston Coastal Storm Risk","New England District(NAE)","","","DL-9","NAE","Alternatives Milestone","Study team successfully defended the study POOCs; defined study area; identified federal interest; identified key NEPA/Sec. 106/Tribal requirements; and conducted adequate outreach and identification of EJ communities for the Alternatives Milestone.","",4,"Planning",2,"Alternatives ","Yes","3","Division Leadership","Joe Vietri Decision Maker; concurrence by Vertical Team (Scott Nicholson, Review Manager)"
"2023-11-30T15:49:31.611Z","2023-12-07T06:00:00.000Z",3775,"TEST2","Buffalo District(LRB)","158000","158000","DL-1","LRB","test","testing","1",3,"Planning",26,"Shared Vision","Pending","1","Project Delivery Team",""
"2024-01-04T23:34:40.806Z","2024-01-08T06:00:00.000Z",3775,"TEST2","Buffalo District(LRB)","158000","158000","DL-2","LRB","test","test","1",3,"Planning",26,"Shared Vision","Pending","","",""
"2024-02-12T21:18:16.211Z","2022-04-08T04:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-3","SAW","Examine the coastal storm risks for the A.I.W.W. portion of the study area","Results of a preliminary analysis using data from the Coastal Hazard System (Version 2) and spatial data from state of North Carolina determined that there will be significant damages to standing structural from flooding and storm surge along the AIWW (i.e., back bay) portion of Holden Beach over a 50 year project life. When accounting for the one percent annual chance exceedance probability storm event with sea level rise, the height of the risk affecting Holden Beach property and residents could reach 12 to 13 feet above mean sea level. At this height, even raised structures in the back bay would be damaged by a hurricane or major coastal storm event. Discussions with the SAD and CSRM-PCX determined that an examination of risks in the backbay of the island was within the authority of the study.  Subject was discussed during AMM (12 January 2022) and decided by PDT with support of CSRM-PCX on 31 Mar 2022.
","",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","","Decision was important to the subsequent decision on modelling."
"2024-02-13T14:05:37.828Z","2023-06-16T04:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-5","SAW","Measures to address coastal storm risks along the A.I.W.W. portion of the study area","Engineering members of the PDT determined that the primary structural solution to risks in the A.I.W.W. portion of Holden Beach are bulkheads and seawalls. Small bulkheads exist on the island near the bridge crossing at Holden Beach Road SW. However, the physical limitations of the A.I.W.W. portion of Holden Beach prohibit consideration of longer bulkheads and seawalls for the project area, particularly for the locations of man-made inlets. These locations would likely require gate structures to reduce A.I.W.W. flooding. In addition, the NFS wants to maintain egress to the A.I.W.W. from these inlets for smaller boats. The most effective measures for risk reduction along the A.I.W.W. portion of Holden Beach are nonstructural specifically buy-outs, floodproofing, elevation, storm warning systems, signage, evacuation planning, and an updated land-use management plan. A G2CRM is necessary to measure the risk reduction provided by floodproofing and elevation along the A.I.W.W. ASA (CW) approved 3x3x3 waiver request, allowing for a G2CRM, on 16 June 2023 .","13",4,"Planning",3,"Tentatively Selected Plan","Yes","2,3,4","",""
"2024-02-13T15:11:52.361Z","2022-03-31T04:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-6","SAW","The need for a Type I Independent External Peer Review (IEPR)","Per Engineering Circular 1165-2-217 (dated 1 May 2021): CIVIL WORKS REVIEW POLICY, a civil works feasibility study will require a Type I IEPR “. . . when the estimated total cost of the project, including mitigation costs, is greater than $200 million. . . ”, an environmental impact statement is the required level of documentation under the National Environmental Policy Act (NEPA), and “. . . when the Chief of Engineers determines the project study is controversial due to significant public dispute over the size, nature, or effects of the project or the economic or environmental costs or benefits of the project. . . ”. District Leadership and the PDT determined that these conditions apply to the Holden Beach GRR CSRM study and thus will require a Type I IEPR. In March 2022, the PDT reached out to members of the Coastal Storm Risk Management - Planning Center of Expertise on the process and scope of the Type I IEPR, as well as its cost and schedule impacts. The review is scheduled for completion before the Agency Decision Milestone. A preliminary estimate of $150k is anticipated for the review taken solely from the Federal portion of the study cost-share. The effort was integrated into the cost and schedule for the 3x3x3 Policy Waiver.","13",4,"Planning",2,"Alternatives ","Yes","2,3,4","",""
"2024-02-13T16:21:09.853Z","2024-01-25T05:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-11","SAW","Sharing information on sand borrow sources, identified by Holden Beach for their local nourishment program and given to the Corps for this study, with another community (i.e. Oak Island) and/or the public","The subject was brought up during a cost-share meeting with the town of Holden Beach on 12 January 2024. As the Oak Island, NC CSRM GRR had begun, a question arose on what information could be shared between the studies. The town considered infomation  related to sand for their local noursishment program (i.e. location and quatities) to be propriatory  and not to be shared with the town of Oak Island as part of their cost-shared study with the Corps. Project Managment and Planning asked the SAW Office of Counsel on the limits of information sharing between the studies, specifically as it related to sand. They determined that under the applicable Freedom of Information Act framework, detailed in 5 U.S.C. § 552, there would likely be no justification for withholding geotechnical or other information received by the townships facilitating the CSRM studies. Discussion and decision made during pre-Civil Works Project Review Board and brief to the SAW Corporate Board on 25 January 2024. SAW office of counsel researched the subject prior to the meetings.","8,15",4,"Planning",3,"Tentatively Selected Plan","Yes","2","District Leadership",""
"2024-02-13T19:33:42.594Z","2024-01-25T05:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-10","SAW","Calculations of the placement of dredged sand material from the A.I.W.W  in the future without project conditions for the planning/economic modeling","Existing records indicate that dredged sand material from the A.I.W.W. near Lockwoods Folly Inlet is placed on the beach in the eastern portion of Holden Beach for beneficial use on average every two years, funds permitting.  The economic members of the PDT decided to assume a placement interval of 4 years, instead 2 years, for the FWOP conditions in the planning/economic modelling. The basis for this interval was the known scarcity of sand in the region and Holden Beach's future plans for their local nourishment program.  Issue discussed during a PDT meeting on 3 November 2023 titled ""Policy Discussion on FWOP"" with Project Management, Planning, Coastal Engineering, and Economics.  Discussion with NFS occurred on 20 November 2023. District Leadership suggested changing from 2 to 4 year interval on 25 Jan 2024.","",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","",""
"2024-02-13T19:44:12.335Z","2023-09-07T04:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-12","SAW","the private community of Holden Beach West and study limits","ER 1165-2-130 (Federal Participation in Shore Protection) requires reasonable public parking and access to the beach to be provided by the non-Federal Sponsor. These requirements ensure that all portions of the project shoreline are available for public use as defined by adequate parking and access facilities. Per ER 1165-2-130, paragraph 6.h.: “Parking should be sufficient to accommodate the lesser of the peak hour demand or the beach capacity”, and “public use is construed to be effectively limited to within one-quarter mile from available points of public access to any particular shore. In the event public access points are not within one-half mile of each other, either an item of local cooperation specifying such a requirement and public use throughout the project lifeperiod of analysis must be included in the project recommendations or the cost-sharing must be based on private use.”  Holden Beach West is a private community on the island that does not want public access to its adjacent beaches. As such, a dune and berm system cannot be constructed into the community.  The length of the beachfront to be examined by Beach fx for the study will reduce from 40,000 (authorized length) to 36,168 linear feet. Impacts to the beach in the private community will be assessed for any potential measures. G2CRM will assess the entire island. This subject was presented during PDT and NFS meeting at Holden Beach on 7 September 2023.","",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","",""
"2024-02-12T19:29:46.754Z","2022-02-02T05:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-1","SAW","Incorporating Sea Level Rise data to storm water levels since tidal epoch mid-point of 1992","The Holden Beach PDT, Coastal Storm Risk Management - Planning Center of Expertise, Climate Preparedness and Resilience Community of Practice, the U.S. Army Engineer Research and Development Center, and members of Coastal Engineering Section in the Jacksonville District agreed that the study will not modify storm water levels to include additional SLR data since 1992. Decision was captured in a MFR dated 2 February 2022.","12",4,"Planning",3,"Tentatively Selected Plan","Yes","1","Project Delivery Team",""
"2024-02-12T19:37:45.030Z","2022-03-10T05:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-2","SAW","the appropriate level of NEPA Documentation for the study","The District recommends the preparation of an Environmental Impact Statement and Record of Decision for the study to fulfill requirements under the National Environmental Policy Act. The vertical team supported this decision on 10 March 2022 meeting and is documented in a memorandum for record date 7 April 2022.","",4,"Planning",3,"Tentatively Selected Plan","Yes","2,3","",""
"2024-02-13T19:05:10.568Z","2023-05-31T04:00:00.000Z",3913,"Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report","Wilmington District(SAW)","481505","481505","DL-7","SAW","Changing from model version 6 to model version 12 in Beach FX ","Beach-fx is a comprehensive modeling tool and analytical framework for evaluating the physical performance and economic benefits of coastal shoreline protection projects. The initial calibration and set-up for the study was in version 6.0, but an updated version of the model (ver.12.0) has come out. In a discussion with CSMR PCX, there  would little difficulty adjusting to the new version. Engineering PDT stated that there would by no impact to the schedule and budget.","",4,"Planning",3,"Tentatively Selected Plan","Yes","1","Project Delivery Team",""
