PROJECT_ID,PROJECT_NAME,P2_NUMBER,P2_SUB_IDENTIFIER,P2_PROGRAM_CODE,CAP,USACE_ORGANIZATION,DISTRICT_CODE,PROGRAMTYPEID,PROGRAMTYPENAME,PROGRAMTYPECODE,PRIMARYMISSIONID,PRIMARYMISSION,STUDYTYPEID,STUDYTYPENAME,PROJECT_LATITUDE,PROJECT_LONGITUDE,LIFECYCLEPHASEID,LIFECYCLEPHASENAME,LIFECYCLEPHASEBUDGET,LIFECYCLESTARTDATE,LIFECYCLEENDDATE,EDITDATE,ORG_ORDER,PROG_TYPE_ORDER,PRIM_MISSION_ORDER
2128,"San Juan Metro Area, Puerto Rico CSRM",469423,NA,NA,NA,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,18.530639999999998,-66.11678599999999,NA,NA,NA,NA,NA,8/20/2021 1:58 PM,27,1,4
2146,WBV Future Levee Lifts,452003,NA,NA,NA,New Orleans District(MVN),MVN,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/17/2023 5:12 PM,10,1,4
2147,"Metro Louisville, KY Flood Protection System",145626,NA,NA,no,Louisville District(LRL),LRL,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,38.275749999999995,-85.790171,5,Pre-Construction Engineering and Design (PED),10000000,2023-07-01T05:00:00Z,2025-01-30T05:00:00Z,1/22/2024,5,1,1
2226,Rahway Tidal,403353,NA,NA,NA,New York District(NAN),NAN,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,40.598887999999995,-74.248846,NA,NA,NA,NA,NA,12/8/2023 2:10 PM,16,1,4
2305,Collier CSRM,476674,NA,NA,NA,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,25.939251,-81.715851,NA,NA,NA,NA,NA,3/31/2021 7:59 PM,17,1,4
2306,FL Keys CSRM,397427,NA,NA,NA,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,24.819858999999997,-80.821732,NA,NA,NA,NA,NA,9/20/2021 3:37 PM,17,1,4
2307,"Miami-Dade Back Bay Coastal Storm Risk Management Feasibility Study, Miami-Dade County, Florida",476677,NA,NA,no,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,1,General Investigations Feasibility,25.74449,-80.18136,4,Planning,8500000,2018-10-01T05:00:00Z,2027-08-31T05:00:00Z,7/2/2024 7:43 PM,17,1,4
2325,TPP Clear Creek Ecosystem Restoration Study,478609,NA,NA,NA,Sacramento District(SPK),SPK,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,39.711428,-121.745939,NA,NA,NA,NA,NA,2/5/2021,32,1,6
2465,SACS,463746,NA,NA,NA,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,9,Watershed Studies,NA,NA,90.5565,-120.564,NA,NA,NA,NA,NA,10/7/2021 3:53 PM,27,1,9
2545,Rhode Island Coastline CSRM,404574,NA,NA,NA,New England District(NAE),NAE,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,41.35,71.2,NA,NA,NA,NA,NA,9/23/2022 7:27 PM,15,1,4
2566,NoVA Coastal,404563,NA,NA,NA,Baltimore District(NAB),NAB,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/4/2024 1:58 PM,14,1,4
2605,New York New Jersey Harbor Deepening Channel Improvements,472473,NA,NA,NA,New York District(NAN),NAN,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,40.653242,-74.08080000000001,NA,NA,NA,NA,NA,12/8/2023 2:10 PM,16,1,2
2625,Kansas River Reservoirs Flood and Sediment Study,137499,NA,NA,no,Kansas City District(NWK),NWK,1,Civil Works,cw,9,Watershed Studies,NA,NA,38.60077,-94.4491,3,Planning,3000000,2019-03-25T05:00:00Z,2024-05-25T05:00:00Z,8/10/2023,19,1,9
2645,South San Francisco Bay Shoreline Phase II Study,402882,NA,NA,NA,San Francisco District(SPN),SPN,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/12/2022 4:39 PM,34,1,4
2685,"St. Tammany Parish, Louisiana Feasibility Study",477554,NA,NA,NA,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,48.166668,-109.650776,NA,NA,NA,NA,NA,7/6/2022 3:11 PM,10,1,1
2785,"UMRR Yorkinut Slough, IL - FWS",472174,NA,472174,yes,St. Louis District(MVS),MVS,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,38.933,-90.527,1,CAP Feasibility,0,2022-08-01T05:00:00Z,2022-11-30T05:00:00Z,4/28/2023,13,1,6
2805,University City,490029,NA,NA,NA,St. Louis District(MVS),MVS,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,38.663901,-90.328165,NA,NA,NA,NA,NA,8/26/2022 9:21 PM,13,1,1
2826,SELA LONDON ORLEANS,NA,NA,NA,no,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,29.091181,-90.090497,7,Operations and Maintenance,0,NA,NA,3/20/2023,10,1,1
2846,"Wrightsville Beach, NC Coastal Storm Risk Mitigation Feasibility Study",483210,NA,NA,NA,Wilmington District(SAW),SAW,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,34.209471,-77.796571,NA,NA,NA,NA,NA,11/4/2021 12:55 PM,30,1,4
2847,Biscayne Bay & Southeastern Everglades Ecosystem Restoration,480417,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,25.4,-80.4,4,Planning,4750000,2020-07-01T05:00:00Z,2025-12-31T05:00:00Z,8/23/2023,27,1,6
2866,Oakland Harbor Turning Basins Widening Study,476976,NA,NA,no,San Francisco District(SPN),SPN,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,37.802819,-122.333611,4,Planning,4000000,2020-07-02T05:00:00Z,2024-05-31T05:00:00Z,5/23/2024,34,1,2
2888,"BALTIMORE HARBOR ANCHORAGES AND CHANNELS MODIFICATION OF SEAGIRT LOOP CHANNELS, MARYLAND FEASIBILITY STUDY",466610,NA,NA,NA,Baltimore District(NAB),NAB,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,39.253089,-76.546678,NA,NA,NA,NA,NA,7/6/2022 1:41 PM,14,1,2
2906,Pacific Territories Watershed Assessment ? American Samoa,480955,NA,NA,NA,Honolulu District(POH),POH,1,Civil Works,cw,9,Watershed Studies,10,Other,14.271,-170.1322,NA,NA,NA,NA,NA,12/6/2021 9:25 PM,25,1,9
2907,Pacific Territories Watershed Assessment ? Guam,487232,NA,NA,NA,Honolulu District(POH),POH,1,Civil Works,cw,9,Watershed Studies,10,Other,13.4443,144.7937,NA,NA,NA,NA,NA,11/24/2021 7:24 PM,25,1,9
2908,Pacific Territories Watershed Assessment ? Commonwealth of the Northern Mariana Islands (CNMI),487231,NA,NA,NA,Honolulu District(POH),POH,1,Civil Works,cw,9,Watershed Studies,10,Other,15.185,145.7467,NA,NA,NA,NA,NA,3/23/2022 8:41 PM,25,1,9
4055,North Lansing Dam CAP 206,503819,NA,503819,yes,Detroit District(LRE),LRE,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,CAP Decision Document,42.74566,-84.54979,1,CAP Feasibility,1,2023-05-01T05:00:00Z,2025-05-01T05:00:00Z,8/10/2023,3,1,6
4071,DRSAA 22 Tangipahoa Parish FRM,505300,NA,497446,no,St. Louis District(MVS),MVS,1,Civil Works,cw,1,Inland Flood Risk Management,1,General Investigations Feasibility,30.7262,-90.50846,4,Planning,3480000,2022-12-08T05:00:00Z,2026-07-17T05:00:00Z,8/21/2023 8:28 AM,13,1,1
4072,Lower Mud,113528,NA,NA,no,Huntington District(LRH),LRH,1,Civil Works,cw,1,Inland Flood Risk Management,10,Other,38.434532,-82.132364,5,Pre-Construction Engineering and Design (PED),150000000,2006-01-01T05:00:00Z,2026-12-31T05:00:00Z,7/17/2024,4,1,1
4073,"Lower Rio Grande Valley Watershed Assessment, TX",514236,NA,NA,no,Galveston District(SWG),SWG,1,Civil Works,cw,9,Watershed Studies,7,Watershed Study,26.18255,-97.7124,3,Planning,3000000,2022-12-12T05:00:00Z,2027-12-12T05:00:00Z,8/15/2023,36,1,9
4074,Sabine to Galveston (S2G) - Orange ? PED,492048,NA,NA,no,Galveston District(SWG),SWG,1,Civil Works,cw,4,Coastal Storm Risk Management,5,Validation,30.08959,-93.74496,5,Pre-Construction Engineering and Design (PED),490074000,2018-10-10T05:00:00Z,2027-05-17T05:00:00Z,8/21/2024,36,1,4
4091,TEST PROJM,NA,NA,870000,no,Charleston District(SAC),SAC,1,Civil Works,cw,4,Coastal Storm Risk Management,1,General Investigations Feasibility,32.89189,-79.44309,7,Operations and Maintenance,1580000,NA,NA,8/21/2023,26,1,4
4092,Iowa Army Ammunition Plant (IAAAP),115401,NA,NA,no,St. Louis District(MVS),MVS,5,Environmental,env,122,Environmental (ENV),NA,NA,40.822462,-91.256785,27,NA,17500000,2023-10-02T05:00:00Z,2025-09-30T05:00:00Z,8/21/2023,13,5,122
4111,Pond Creek Water Extension Project,514090,NA,NA,no,Huntington District(LRH),LRH,1,Civil Works,cw,117,Other,NA,NA,39.06584,-81.64023,4,Planning,13250,2023-06-26T05:00:00Z,2024-01-11T05:00:00Z,8/23/2023,4,1,117
4112,Greenbrier County Phase II Waterline Extension Project,514089,NA,NA,no,Huntington District(LRH),LRH,1,Civil Works,cw,117,Other,NA,NA,37.90011,-80.63108,4,Planning,13250,2023-06-20T05:00:00Z,2024-02-08T05:00:00Z,8/23/2023,4,1,117
4113,Wappapello Dam - Dam Safety Modification Study,496428,NA,NA,no,St. Louis District(MVS),MVS,1,Civil Works,cw,1,Inland Flood Risk Management,10,Other,36.930679999999995,-90.28152,4,Planning,1500000,2023-04-17T05:00:00Z,2024-10-18T05:00:00Z,8/23/2023,13,1,1
4131,Matagorda ship Channel Improvements,NA,NA,NA,no,Galveston District(SWG),SWG,1,Civil Works,cw,2,Deep Draft Navigation,9,Limited Re-evaluation,28.54142,-96.48597,4,Planning,1,2023-07-03T05:00:00Z,2025-08-22T05:00:00Z,8/28/2023,36,1,2
4132,Sarvis Fork Waterline Extension Project,514342,NA,014183,no,Huntington District(LRH),LRH,1,Civil Works,cw,117,Other,10,Other,38.9223,-81.6472,6,Construction,779000,2024-12-31T05:00:00Z,2027-05-18T05:00:00Z,9/23/2024,4,1,117
4133,S2G Port Arthur PACR,488779,NA,NA,no,Galveston District(SWG),SWG,1,Civil Works,cw,4,Coastal Storm Risk Management,5,Validation,29.8397,-93.96183,5,Pre-Construction Engineering and Design (PED),1902000,2023-08-01T05:00:00Z,2025-08-05T05:00:00Z,7/10/2024,36,1,4
4134,Sabine Pass to Galveston Bay Freeport,492290,NA,NA,no,Galveston District(SWG),SWG,1,Civil Works,cw,4,Coastal Storm Risk Management,5,Validation,28.93886,-95.32575,5,Pre-Construction Engineering and Design (PED),1,2025-06-02T05:00:00Z,2025-06-03T05:00:00Z,9/6/2023,36,1,4
4135,Lee County Conservation Board CAP Sec 204,496169,NA,496169,yes,Rock Island District(MVR),MVR,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,CAP Decision Document,40.57557,-91.39956,1,CAP Feasibility,550000,2022-02-11T05:00:00Z,2024-12-31T05:00:00Z,9/1/2023,12,1,6
4151,"Norfolk Harbor, VA, Anchorage F Limited Reevaluation Report",513657,NA,NA,no,Norfolk District(NAO),NAO,1,Civil Works,cw,2,Deep Draft Navigation,9,Limited Re-evaluation,36.96063,-76.34440000000001,4,Planning,2000000,2023-09-11T05:00:00Z,2025-09-11T05:00:00Z,9/5/2023,17,1,2
4152,TEST234,000458,NA,000458,yes,Baltimore District(NAB),NAB,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,38.29569,-76.10422,2,CAP Design and Construction,4580000,2023-08-01T05:00:00Z,2024-09-30T05:00:00Z,9/5/2023,14,1,6
4153,Clardy Fox,494043,NA,494043,no,Albuquerque District(SPA),SPA,1,Civil Works,cw,117,Other,NA,NA,31.754479999999997,-106.42962,5,Pre-Construction Engineering and Design (PED),400000,2023-04-01T05:00:00Z,2023-10-31T05:00:00Z,9/6/2023 5:17 PM,31,1,117
4154,Conchas lodge Demo/Reno,506192,NA,NA,no,Albuquerque District(SPA),SPA,1,Civil Works,cw,117,Other,10,Other,35.37,-104.17,5,Pre-Construction Engineering and Design (PED),500000,2023-09-06T05:00:00Z,2024-01-31T05:00:00Z,9/6/2023,31,1,117
4155,Buchanan Co Sec 202 Flood Risk Management,112510,NA,NA,no,Huntington District(LRH),LRH,1,Civil Works,cw,117,Other,10,Other,37.19533,-81.91405999999999,6,Construction,235600000,2020-10-01T05:00:00Z,2027-07-16T05:00:00Z,9/6/2023,4,1,117
4156,City of Spencer Water System Improvements Project,514561,NA,NA,no,Huntington District(LRH),LRH,1,Civil Works,cw,117,Other,NA,NA,38.797059999999995,-81.352921,4,Planning,14500,2023-07-05T05:00:00Z,2024-02-22T05:00:00Z,9/6/2023,4,1,117
4157,Northgate Diversion Channel Improvements,497563,NA,497563,no,Albuquerque District(SPA),SPA,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,31.86922,-106.45737,5,Pre-Construction Engineering and Design (PED),300000,2023-08-31T05:00:00Z,2024-11-13T05:00:00Z,9/6/2023 11:32 PM,31,1,1
4158,Haleiwa Beneficial Use Pilot Project (Section 1122),474950,NA,NA,yes,Honolulu District(POH),POH,1,Civil Works,cw,4,Coastal Storm Risk Management,2,CAP Decision Document,21.59883,-158.10389,1,CAP Feasibility,550000,2019-06-03T05:00:00Z,2023-12-29T05:00:00Z,9/6/2023,25,1,4
4159,Shoreline III (Sunnyvale),488467,NA,NA,no,San Francisco District(SPN),SPN,1,Civil Works,cw,4,Coastal Storm Risk Management,1,General Investigations Feasibility,37.41258,-122.00781,4,Planning,1,2023-08-28T05:00:00Z,2026-08-27T05:00:00Z,9/18/2024 6:14 PM,34,1,4
4160,TEST MIL PROJECT,111111,NA,NA,no,Far East District(POF),POF,2,Military Program,mp,118,Major Construction,NA,NA,40.73061,-73.935242,11,Closeout,1,2023-09-20T05:00:00Z,2032-09-08T05:00:00Z,9/8/2023,44,2,118
4161,Ala Wai Canal,234567,NA,NA,no,Pittsburgh District(LRP),LRP,1,Civil Works,cw,1,Inland Flood Risk Management,4,General Re-evaluation,21.2831,-157.8264,4,Planning,2793000,2021-06-30T05:00:00Z,2024-06-29T05:00:00Z,9/9/2023,7,1,1
4162,"Raritan Bay and Sandy Hook Bay, NJ Coastal Storm Risk Management Project",506651,NA,NA,no,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,1,General Investigations Feasibility,40.44831,-74.13597,4,Planning,3000000,2022-10-18T05:00:00Z,2028-11-10T05:00:00Z,12/11/2023,17,1,4
4163,Biscayne Bay Coastal Wetlands (BBCW),113846,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,25.556379999999997,-80.3274,6,Construction,278212000,2008-01-01T05:00:00Z,2028-01-10T05:00:00Z,9/12/2023,27,1,6
4164,Wilson County PAS,509870,NA,NA,no,Nashville District(LRN),LRN,1,Civil Works,cw,9,Watershed Studies,NA,NA,36.26088,-86.43871,3,Planning,350000,2023-04-03T05:00:00Z,2025-04-03T05:00:00Z,9/12/2023,6,1,9
4165,NESP - Ecosystem Program,NA,NA,010315,no,Rock Island District(MVR),MVR,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,10,Other,41.51629,-90.55309,4,Planning,20000000,2022-10-01T05:00:00Z,2025-03-21T05:00:00Z,10/24/2023,12,1,6
2909,Arroyo Conejo Flood Risk Reduction Study,444695,NA,NA,NA,Los Angeles District(SPL),SPL,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,34.183734,-118.936445,NA,NA,NA,NA,NA,1/22/2021 7:48 PM,33,1,1
2929,"CG Upper Guadalupe River, CA",104617,NA,NA,no,San Francisco District(SPN),SPN,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,37.288635,-121.880948,4,Planning,1,2024-08-01T05:00:00Z,2024-08-02T05:00:00Z,8/1/2024,34,1,1
2930,"Lower Colma CAP 103, CA",477199,NA,NA,NA,San Francisco District(SPN),SPN,1,Civil Works,cw,4,Coastal Storm Risk Management,2,CAP Decision Document,37.643708,-122.40073,NA,NA,NA,NA,NA,3/31/2022 9:42 PM,34,1,4
2969,Ponte Vedra Beach CSRM,479264,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,1,General Investigations Feasibility,30.09999,-81.34140000000001,4,Planning,3000000,2021-04-19T05:00:00Z,2024-04-19T05:00:00Z,8/21/2023 8:28 AM,27,1,4
3009,CAP 107 Nome Harbor Feasibility Study,464170,NA,NA,NA,Alaska District(POA),POA,1,Civil Works,cw,3,Small Boat Harbors,2,CAP Decision Document,64.504074,-165.426779,NA,NA,NA,NA,NA,6/4/2021,24,1,3
3029,Port of Rosedale Expansion - Section 107,472096,NA,NA,NA,Vicksburg District(MVK),MVK,1,Civil Works,cw,16,Inland Navigation,NA,NA,33.818332999999996,-91.020556,NA,NA,NA,NA,NA,10/26/2021 5:22 PM,8,1,16
3069,Tampa Harbor Navigation Improvement Study,499774,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,2,Deep Draft Navigation,4,General Re-evaluation,26.781169,-82.103568,4,Planning,4500000,2021-08-18T05:00:00Z,2024-08-16T05:00:00Z,11/15/2023,27,1,2
3089,"City of El Paso, Texas Project for Flood Damage Reduction Study",472125,NA,NA,NA,Albuquerque District(SPA),SPA,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,31.822742,-106.451128,NA,NA,NA,NA,NA,7/3/2023 9:41 PM,31,1,1
3109,Little Blue River Flood Risk Management Study,496089,NA,NA,NA,Kansas City District(NWK),NWK,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,39.02162,-94.37376,4,Planning,3000000,2021-09-29T05:00:00Z,2026-06-29T05:00:00Z,12/11/2023,19,1,1
3129,Lower Missouri Basin Flood Risk & Resiliency,484710,NA,NA,NA,Kansas City District(NWK),NWK,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,41.638000000000005,-96.107,NA,NA,NA,NA,NA,11/5/2021 5:30 PM,19,1,1
3130,"Akutan Harbor Navigational Improvements, AK",495160,NA,NA,no,Alaska District(POA),POA,1,Civil Works,cw,3,Small Boat Harbors,1,General Investigations Feasibility,54.141653,-165.629547,4,Planning,3000000,2021-07-19T05:00:00Z,2024-07-23T05:00:00Z,11/28/2023,24,1,3
3149,"OLD Brunswick County Beaches, Holden Beach Portion, General Re-evaluation Report",48150500,NA,481505,no,Wilmington District(SAW),SAW,1,Civil Works,cw,4,Coastal Storm Risk Management,4,General Re-evaluation,33.915662,-78.26032599999999,4,Planning,3000000,2023-05-28T05:00:00Z,2026-09-29T05:00:00Z,6/30/2023,30,1,4
3169,North DeSoto County Feasibility Study,444806,NA,NA,NA,Memphis District(MVM),MVM,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,34.88387,-90.021,NA,NA,NA,NA,NA,11/16/2021,9,1,1
3189,"MS Riv Hatchie/Loosahatchie, MS Rvr Mi 775-736, TN & AR",445120,NA,NA,no,Memphis District(MVM),MVM,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,General Investigations Feasibility,35.361194,-90.087683,4,Planning,3000000,2021-07-30T05:00:00Z,2024-07-01T05:00:00Z,2/28/2023 7:04 PM,9,1,6
3209,Lower Delaware River DMMP,462100,NA,NA,NA,Philadelphia District(NAP),NAP,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,39.450542,-75.554026,NA,NA,NA,NA,NA,1/17/2023 5:12 PM,18,1,2
3229,"Lower Osage River, MO",464838,NA,NA,no,Kansas City District(NWK),NWK,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,General Investigations Feasibility,38.25428,-92.305941,4,Planning,3000000,2022-09-16T05:00:00Z,2023-01-16T05:00:00Z,5/24/2023 1:32 PM,19,1,6
3250,PR Coastal Post Exception,461551,NA,NA,NA,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,18.2208,-66.10571999999999,NA,NA,NA,NA,NA,9/21/2023 7:26 PM,27,1,4
3269,Lower Missouri River BSNP Navigation Feasibility Study,445551,NA,NA,NA,Kansas City District(NWK),NWK,1,Civil Works,cw,16,Inland Navigation,NA,NA,39.145931,-94.533244,NA,NA,NA,NA,NA,2/25/2022 4:06 PM,19,1,16
3289,Upper Mississippi River Restoration ?Lower Pool 13 Habitat Restoration and Enhancement Project,469162,NA,NA,NA,Rock Island District(MVR),MVR,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,6,Post-Authorization Decision Document,NA,NA,NA,NA,NA,NA,NA,3/8/2022,12,1,6
3290,Watsonville Slough Ecosystem Restoration,465934,NA,NA,yes,San Francisco District(SPN),SPN,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,36.866482,-121.817627,1,CAP Feasibility,1,2022-07-04T05:00:00Z,2023-11-03T05:00:00Z,11/6/2023,34,1,6
3309,BALTIMORE COASTAL STORM RISK MANAGEMENT FEASIBILITY STUDY,404561,NA,NA,NA,Baltimore District(NAB),NAB,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,39.2557,-76.5484,NA,NA,NA,NA,NA,4/5/2022,14,1,4
3329,"Lake Elsinore Aquatic Ecosystem Restoration CAP 206, CA",468573,NA,NA,yes,Los Angeles District(SPL),SPL,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,2,CAP Decision Document,33.661754,-117.331432,1,CAP Feasibility,0,2021-05-25T05:00:00Z,2024-05-08T05:00:00Z,3/1/2024 8:18 PM,33,1,6
3349,"Quincy Bay, IL",475913,NA,NA,NA,St. Paul District(MVP),MVP,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,39.95804,-91.42067,4,Planning,2000000,2021-10-25T05:00:00Z,2024-09-20T05:00:00Z,7/5/2024 9:16 PM,11,1,6
3369,KBSBB,474967,NA,NA,NA,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,25.692497,-80.169556,NA,NA,NA,NA,NA,5/20/2022 1:02 PM,27,1,4
3389,"Murrieta Creek General Reevaluation Report, CA",496540,NA,NA,no,Los Angeles District(SPL),SPL,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,33.52295,-117.1801,NA,NA,NA,NA,NA,9/28/2023 9:41 PM,33,1,1
